Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,PPTINC , ,,SPILL , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,INCHES, ,CFS, ,
01/07/2005,--,,110039,,--,,18,,385,,0.93,,0,,
01/08/2005,--,,113698,,--,,19,,1697,,1.96,,0,,
01/09/2005,--,,141996,,--,,19,,13993,,2.93,,0,,
01/10/2005,--,,190171,,--,,119,,24189,,1.73,,103,,
01/11/2005,--,,192573,,--,,15888,,17018,,0.65,,15876,,
01/12/2005,--,,193160,,--,,7013,,7295,,0.13,,6983,,
01/13/2005,--,,194523,,--,,3234,,3926,,0.00,,3052,,
01/14/2005,--,,197649,,--,,1078,,2657,,0.00,,910,,
01/15/2005,--,,196365,,--,,3295,,2652,,0.00,,3115,,
01/16/2005,--,,193253,,--,,3790,,2226,,0.00,,3606,,
01/17/2005,--,,192449,,--,,1909,,1510,,0.00,,1729,,
01/18/2005,--,,192635,,--,,1132,,1230,,0.00,,956,,
01/19/2005,--,,192665,,--,,1109,,1130,,0.00,,939,,
01/20/2005,--,,192789,,--,,1030,,1099,,0.00,,1006,,
01/21/2005,--,,193005,,--,,1120,,1235,,0.00,,1093,,
01/22/2005,--,,--,,--,,--,,--,,--,,--,,
01/23/2005,--,,192882,,--,,1202,,1145,,0.00,,1170,,
01/24/2005,--,,190477,,--,,2239,,1034,,0.00,,2208,,
01/25/2005,--,,188122,,--,,1829,,648,,0.00,,1797,,
01/26/2005,--,,188000,,--,,34,,-22,,0.00,,2,,
01/27/2005,--,,188091,,--,,434,,468,,0.11,,402,,
01/28/2005,--,,188091,,--,,433,,422,,0.12,,407,,
01/29/2005,--,,188030,,--,,408,,377,,0.04,,382,,
01/30/2005,--,,188489,,--,,190,,427,,0.00,,34,,
01/31/2005,--,,--,,--,,--,,--,,--,,--,,
02/01/2005,--,,189345,,--,,146,,400,,0.00,,0,,
02/02/2005,--,,189804,,--,,94,,337,,0.00,,0,,
02/03/2005,--,,190263,,--,,68,,309,,0.00,,0,,
02/04/2005,--,,190691,,--,,50,,275,,0.00,,0,,
02/05/2005,--,,--,,--,,--,,--,,--,,--,,
02/06/2005,--,,191553,,--,,40,,264,,0.00,,0,,
02/07/2005,--,,191985,,--,,41,,266,,0.00,,0,,
02/08/2005,--,,192418,,--,,43,,269,,0.00,,0,,
02/09/2005,--,,192573,,--,,163,,247,,0.00,,0,,
02/10/2005,--,,192665,,--,,190,,246,,0.00,,0,,
02/11/2005,--,,192851,,--,,163,,218,,0.35,,0,,
02/12/2005,--,,193036,,--,,192,,273,,0.11,,151,,
02/13/2005,--,,193160,,--,,195,,266,,0.00,,0,,
02/14/2005,--,,193315,,--,,189,,273,,0.00,,0,,
02/15/2005,--,,--,,--,,--,,--,,--,,--,,
02/16/2005,--,,191522,,--,,1199,,233,,0.05,,1153,,
02/17/2005,--,,191584,,--,,166,,204,,0.00,,0,,
02/18/2005,--,,192140,,--,,106,,296,,0.72,,0,,
02/19/2005,--,,192820,,--,,868,,1007,,2.21,,699,,
02/20/2005,--,,187788,,--,,6595,,3929,,1.05,,6426,,
02/21/2005,--,,189712,,--,,8695,,9206,,3.78,,8513,,
02/22/2005,--,,192882,,--,,12094,,13638,,0.47,,11917,,
02/23/2005,--,,189070,,--,,8813,,6794,,0.79,,8636,,
02/24/2005,--,,188152,,--,,4868,,4398,,0.13,,4695,,
02/25/2005,--,,188642,,--,,2920,,3177,,0.00,,2743,,
02/26/2005,--,,187697,,--,,2940,,2473,,0.00,,2760,,
02/27/2005,--,,187274,,--,,2201,,1997,,0.00,,2021,,
02/28/2005,--,,188397,,--,,1067,,1608,,0.28,,883,,
03/01/2005,--,,189529,,--,,1020,,1598,,0.00,,840,,
03/02/2005,--,,190110,,--,,1024,,1324,,0.02,,844,,
03/03/2005,--,,190110,,--,,1181,,1182,,0.04,,1001,,
03/04/2005,--,,190263,,--,,1045,,1088,,0.30,,864,,
03/05/2005,--,,190508,,--,,1129,,1189,,0.55,,949,,
03/06/2005,--,,190508,,--,,1044,,1053,,0.00,,863,,
03/07/2005,--,,191120,,--,,540,,860,,0.00,,511,,
03/08/2005,--,,191707,,--,,494,,803,,0.00,,465,,
03/09/2005,--,,192171,,--,,496,,743,,0.00,,467,,
03/10/2005,--,,192573,,--,,496,,712,,0.00,,468,,
03/11/2005,--,,192882,,--,,505,,674,,0.00,,469,,
03/12/2005,--,,193191,,--,,510,,687,,0.00,,469,,
03/13/2005,--,,193315,,--,,476,,552,,0.00,,436,,
03/14/2005,--,,193500,,--,,455,,553,,0.03,,414,,
03/15/2005,--,,193685,,--,,453,,558,,0.00,,414,,
03/16/2005,--,,--,,--,,--,,--,,--,,--,,
03/17/2005,--,,193840,,--,,441,,475,,0.00,,402,,
03/18/2005,--,,191398,,--,,1856,,634,,0.00,,1807,,
03/19/2005,--,,189131,,--,,1809,,619,,0.37,,1759,,
03/20/2005,--,,187909,,--,,1154,,542,,0.02,,1103,,
03/21/2005,--,,187909,,--,,434,,445,,0.00,,385,,
03/22/2005,--,,187909,,--,,411,,415,,0.06,,366,,
03/23/2005,--,,190508,,--,,204,,1329,,1.45,,15,,
03/24/2005,--,,192511,,--,,187,,1197,,0.04,,0,,
03/25/2005,--,,192325,,--,,819,,733,,0.00,,633,,
03/26/2005,--,,192511,,--,,519,,630,,0.00,,334,,
03/27/2005,--,,--,,--,,--,,--,,--,,--,,
03/28/2005,--,,192944,,--,,428,,524,,0.20,,394,,
03/29/2005,--,,193067,,--,,423,,501,,0.00,,395,,
03/30/2005,--,,193160,,--,,423,,487,,0.00,,395,,
