Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,EVAP , ,,FNF , ,,RIVREL , ,,PPTINC , ,,SPILL , ,,DISPWR , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,CFS, ,CFS, ,CFS, ,INCHES, ,CFS, ,CFS, ,
06/07/2003,2366.82,,2395565,,5831,,3855,,6938,,143,,6938,,0,,0.00,,0,,3855,,
06/08/2003,2367.16,,2401088,,5523,,3849,,6781,,148,,6781,,0,,0.00,,0,,3849,,
06/09/2003,2367.40,,2404999,,3911,,3679,,5785,,134,,5785,,0,,0.00,,0,,3679,,
06/10/2003,2367.54,,2407280,,2281,,3811,,5100,,139,,5100,,0,,0.00,,0,,3811,,
06/11/2003,2367.60,,2408258,,978,,3807,,4444,,144,,4444,,0,,0.00,,0,,3807,,
06/12/2003,2367.61,,2408421,,163,,3818,,4029,,129,,4029,,0,,0.00,,0,,3818,,
06/13/2003,2367.55,,2407443,,-978,,3833,,3460,,120,,3460,,0,,0.00,,0,,3833,,
06/14/2003,2367.47,,2406140,,-1303,,3834,,3287,,110,,3287,,0,,0.00,,0,,3834,,
06/15/2003,2367.39,,2404836,,-1304,,3831,,3294,,120,,3294,,0,,0.00,,0,,3831,,
06/16/2003,2367.35,,2404184,,-652,,3823,,3623,,129,,3623,,0,,0.00,,0,,3823,,
06/17/2003,2367.31,,2403532,,-652,,3817,,3612,,124,,3612,,0,,0.00,,0,,3817,,
06/18/2003,2367.21,,2401903,,-1629,,3821,,3115,,115,,3115,,0,,0.00,,0,,3821,,
06/19/2003,2367.04,,2399133,,-2770,,3826,,2549,,120,,2549,,0,,0.00,,0,,3826,,
06/20/2003,2366.84,,2395889,,-3244,,3827,,2340,,148,,2340,,0,,0.00,,0,,3827,,
06/21/2003,2366.62,,2392325,,-3564,,3830,,2167,,134,,2167,,0,,0.00,,0,,3830,,
06/22/2003,2366.40,,2388762,,-3563,,3829,,2171,,138,,2171,,0,,0.00,,0,,3829,,
