Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,SPILL , ,,DISPWR , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,CFS, ,CFS, ,
06/07/2003,123.94,,8233,,118,,5746,,5809,,709,,4932,,
06/08/2003,124.03,,8276,,43,,5577,,5602,,519,,4953,,
06/09/2003,123.88,,8205,,-71,,5569,,5536,,518,,4946,,
06/10/2003,124.13,,8326,,121,,5368,,5433,,389,,4874,,
06/11/2003,122.88,,7737,,-589,,5035,,4741,,0,,4930,,
06/12/2003,123.05,,7815,,78,,4897,,4940,,0,,4792,,
06/13/2003,123.28,,7923,,108,,4411,,4468,,0,,4306,,
06/14/2003,122.52,,7575,,-348,,4046,,3875,,0,,3941,,
06/15/2003,122.21,,7436,,-139,,4033,,3967,,0,,3928,,
06/16/2003,122.71,,7661,,225,,3930,,4047,,0,,3825,,
06/17/2003,123.25,,7909,,248,,3413,,3543,,0,,3308,,
06/18/2003,123.05,,7815,,-94,,3042,,3000,,0,,2937,,
06/19/2003,123.16,,7866,,51,,3049,,3079,,0,,2944,,
06/20/2003,123.15,,7862,,-4,,3032,,3034,,0,,2927,,
06/21/2003,122.98,,7782,,-80,,3043,,3007,,0,,2938,,
06/22/2003,122.77,,7688,,-94,,3043,,3000,,0,,2938,,
06/23/2003,123.48,,8017,,329,,3048,,3218,,0,,2943,,
06/24/2003,123.31,,7937,,-80,,3047,,3011,,0,,2942,,
06/25/2003,123.57,,8059,,122,,2908,,2974,,0,,2803,,
06/26/2003,123.66,,8101,,42,,2554,,2580,,0,,2449,,
06/27/2003,123.11,,7843,,-258,,2566,,2441,,1032,,1429,,
06/28/2003,123.11,,7843,,0,,2540,,2545,,0,,2435,,
06/29/2003,123.25,,7909,,66,,2537,,2575,,0,,2432,,
06/30/2003,123.32,,7941,,32,,2541,,2562,,0,,2436,,
07/01/2003,123.13,,7852,,-89,,2551,,2510,,0,,2446,,
07/02/2003,122.99,,7787,,-65,,2549,,2520,,0,,2444,,
07/03/2003,122.94,,7764,,-23,,2542,,2535,,0,,2437,,
07/04/2003,122.90,,7746,,-18,,2556,,2552,,0,,2451,,
07/05/2003,123.19,,7880,,134,,2542,,2615,,0,,2437,,
07/06/2003,123.25,,7909,,29,,2550,,2571,,0,,2445,,
07/07/2003,123.96,,8242,,333,,2537,,2710,,0,,2432,,
07/08/2003,124.42,,8471,,229,,3015,,3134,,0,,2910,,
07/09/2003,124.49,,8506,,35,,3044,,3066,,0,,2939,,
07/10/2003,124.79,,8656,,150,,3055,,3136,,0,,2950,,
07/11/2003,124.38,,8451,,-205,,3047,,2949,,0,,2942,,
07/12/2003,124.37,,8446,,--,,3049,,3051,,0,,2944,,
07/13/2003,124.12,,8321,,--,,3048,,2990,,0,,2943,,
07/14/2003,124.05,,8286,,-35,,3046,,3032,,0,,2941,,
07/15/2003,124.04,,8281,,--,,3040,,3041,,0,,2941,,
07/16/2003,123.92,,8223,,-58,,3028,,3004,,0,,2938,,
07/17/2003,123.90,,8214,,-9,,3039,,3038,,0,,2949,,
07/18/2003,123.85,,8191,,-23,,3035,,3028,,0,,2945,,
07/19/2003,123.53,,8040,,-151,,3049,,2979,,0,,2950,,
07/20/2003,123.36,,7960,,-80,,3524,,3488,,0,,3419,,
07/21/2003,123.16,,7866,,-94,,3557,,3515,,0,,3442,,
07/22/2003,123.17,,7871,,5,,3546,,3554,,0,,3431,,
07/23/2003,123.62,,8082,,211,,4039,,4149,,0,,3924,,
07/24/2003,124.58,,8551,,--,,4048,,4287,,0,,3934,,
07/25/2003,124.58,,8551,,0,,4050,,4056,,0,,3942,,
07/26/2003,124.25,,8386,,-165,,4513,,4434,,0,,4408,,
07/27/2003,124.19,,8356,,-30,,4531,,4520,,0,,4426,,
07/28/2003,124.63,,8576,,220,,4535,,4651,,0,,4430,,
07/29/2003,125.23,,8885,,309,,4541,,4702,,0,,4436,,
07/30/2003,124.89,,8706,,-179,,4541,,4456,,0,,4436,,
07/31/2003,124.09,,8306,,-400,,4624,,4426,,0,,4519,,
08/01/2003,123.49,,8021,,-285,,4542,,4401,,0,,4437,,
08/02/2003,123.02,,7800,,-221,,4543,,4435,,0,,4438,,
08/03/2003,122.53,,7580,,-220,,4551,,4442,,0,,4446,,
08/04/2003,123.43,,7993,,413,,4413,,4624,,0,,4308,,
08/05/2003,123.91,,8219,,226,,4050,,4168,,0,,3945,,
08/06/2003,124.04,,8281,,62,,4044,,4079,,0,,3939,,
08/07/2003,123.80,,8167,,-114,,3674,,3621,,0,,3569,,
08/08/2003,123.61,,8078,,--,,3164,,3123,,0,,3059,,
08/09/2003,123.26,,7913,,-165,,3051,,2972,,0,,2946,,
08/10/2003,122.98,,7782,,-131,,3052,,2990,,0,,2947,,
08/11/2003,123.24,,7904,,122,,3047,,3113,,0,,2942,,
08/12/2003,123.64,,8092,,188,,2892,,2990,,454,,2333,,
08/13/2003,124.13,,8326,,234,,2544,,2666,,0,,2439,,
08/14/2003,124.07,,8296,,-30,,2539,,2528,,0,,2434,,
08/15/2003,123.64,,8092,,-204,,2125,,2026,,0,,2020,,
08/16/2003,123.72,,8129,,37,,2041,,2063,,0,,1936,,
08/17/2003,124.28,,8401,,272,,2043,,2184,,0,,1938,,
08/18/2003,124.13,,8326,,-75,,2060,,2026,,0,,1955,,
08/19/2003,124.12,,8321,,-5,,2047,,2049,,0,,1942,,
08/20/2003,124.25,,8386,,65,,2050,,2086,,0,,1945,,
08/21/2003,123.94,,8233,,-153,,2050,,1977,,0,,1945,,
08/22/2003,123.97,,8247,,14,,2045,,2055,,0,,1940,,
08/23/2003,123.85,,8191,,-56,,2045,,2018,,0,,1940,,
08/24/2003,123.78,,8158,,-33,,2043,,2029,,0,,1938,,
08/25/2003,123.70,,8120,,-38,,2047,,2032,,0,,1942,,
08/26/2003,123.89,,8209,,89,,2049,,2098,,0,,1944,,
08/27/2003,123.85,,8191,,-18,,2051,,2046,,0,,1946,,
08/28/2003,123.78,,8158,,-33,,2049,,2036,,0,,1944,,
08/29/2003,123.55,,8050,,-108,,2043,,1992,,0,,1938,,
08/30/2003,123.33,,7946,,-104,,2056,,2007,,0,,1951,,
08/31/2003,123.12,,7847,,-99,,2053,,2006,,0,,1948,,
09/01/2003,122.75,,7679,,-168,,2045,,1963,,0,,1940,,
09/02/2003,123.67,,8106,,427,,2042,,2260,,0,,1937,,
09/03/2003,123.85,,8191,,85,,2048,,2095,,0,,1943,,
09/04/2003,123.61,,8078,,-113,,1997,,1942,,0,,1895,,
09/05/2003,123.68,,8111,,33,,2043,,2063,,0,,1938,,
09/06/2003,123.80,,8167,,56,,1844,,1876,,0,,1739,,
09/07/2003,123.70,,8120,,-47,,1803,,1782,,0,,1698,,
09/08/2003,123.15,,7862,,-258,,1798,,1670,,0,,1693,,
09/09/2003,124.03,,8276,,414,,1789,,2001,,0,,1684,,
09/10/2003,123.86,,8195,,-81,,1810,,1772,,0,,1705,,
09/11/2003,123.68,,8111,,-84,,1792,,1753,,0,,1687,,
09/12/2003,123.77,,8153,,42,,1800,,1825,,0,,1695,,
09/13/2003,123.42,,7988,,-165,,1795,,1716,,0,,1690,,
09/14/2003,123.60,,8073,,85,,1800,,1847,,0,,1695,,
09/15/2003,123.73,,8134,,61,,1802,,1837,,0,,1697,,
09/16/2003,123.76,,8148,,14,,1800,,1810,,0,,1695,,
09/17/2003,123.75,,8144,,-4,,1645,,1646,,0,,1540,,
