date,Snow,Reservoirs,ANT,BLB,BRD,BUC,BUL,CAS,CCH,CHV,CLE,CMN,COY,DAV,DNN,DNP,DON,ENG,EXC,FOL,FRD,HID,HTH,ICH,INP,INV,ISB,KES,LEW,LON,MIL,NAT,NHG,NML,ORO,PAR,PNF,PRR,PYM,SCC,SHA,SNL,STP,TRM,TUL,UNV,WHI,WRS
9/30/03,0,"15,890,101",17711,51054,71604,17552,639162,,,230735,1881203,278840,61978,49228,6603,1514220,33331,68868,442735,658149,26074,12320,285440,32704,16760,151390,172040,21781,13904,44102,215030,8026,108611,1280256,2283774,189900,181929,,,7582,3159376,939243,,6128,62119,195544,237609,215486
10/1/03,0,"15,863,281",17671,50508,72011,17539,638539,,,229900,1874393,278840,61994,49108,6496,1512151,32771,68643,441307,657502,26044,12140,284348,32663,16711,151360,171199,21508,13874,44067,214591,7979,108354,1279835,2279945,189620,180710,,,7304,3157969,937871,,6121,61718,194613,238119,215245
10/2/03,0,"15,838,421",17622,49916,72107,17461,637865,,,229566,1867889,278840,62026,49019,6414,1511117,32492,68458,439919,655931,26024,11961,283438,32616,16690,151330,170358,21896,14255,44044,213888,8115,108051,1279329,2276583,189360,179329,,,7042,3156093,936892,,6123,61248,194033,238151,214930
10/3/03,0,"15,810,485",17566,49304,72030,17454,637148,,,229232,1862082,278840,62075,49018,6315,1509052,32407,68354,438459,654268,26004,11784,282529,32581,16656,151272,169701,22334,14554,43987,213829,8451,107818,1278654,2272646,189070,177576,,,6790,3153512,933857,,6128,61166,193525,237768,214689
10/4/03,0,"15,787,815",17526,48745,71808,17448,636452,,,229232,1856566,278840,62107,48958,6225,1506988,32439,68035,437001,652697,25965,11609,281262,32540,16620,151216,169103,22273,13993,43930,213595,8401,107469,1277223,2272068,188880,175174,,,6559,3152105,932879,,6133,61765,193547,237991,214448
10/5/03,0,"15,765,767",17478,48238,71757,17441,635611,,,229232,1850515,278590,62139,48929,6126,1504926,32309,68202,435363,651034,25965,11435,280538,32500,16586,151188,168507,21952,14225,43895,211874,8351,107214,1277896,2269523,188860,172905,,,6338,3150698,936010,,6148,60317,192578,238119,214255
10/6/03,0,"15,736,100",17438,47425,72043,17428,634587,,,229065,1843922,278840,62155,48899,6053,1501838,31832,68122,433989,648183,25945,11259,279452,32256,16537,151132,167855,21909,14105,43162,210422,8252,106982,1277223,2265248,188300,171602,,,6137,3150229,933760,,6159,60641,193317,238407,213990
10/7/03,0,"15,710,991",17390,46478,72445,17421,633655,,,228897,1838037,279330,62139,48810,6012,1500810,31208,68258,432654,645615,25896,11079,278370,32186,16482,151104,167143,22137,14360,42593,208746,8035,106773,1277980,2262363,187650,170351,,,5922,3149525,932488,,6169,59055,193525,238151,213749
10/8/03,0,"15,678,358",17342,45567,72471,17408,632724,,,228563,1831607,279830,62058,48750,5988,1498755,30894,68114,431137,642313,25867,10911,277290,32152,16440,150880,166316,22328,14016,42401,206361,8158,106519,1276552,2255564,186940,168645,,,5765,3149291,932097,,6174,59877,192602,238183,213508
10/9/03,0,"15,648,650",17286,44575,72892,17402,631446,,,228229,1825475,280070,61913,48602,5963,1496702,30239,68122,430029,639024,25857,10754,276210,32117,16384,150880,165140,21872,14031,42333,204648,8050,106219,1275544,2250848,186210,167062,,,5576,3148587,933173,,6179,60005,191727,238055,213220
