04/14/2015,Reservoircapacityupdatedfrom77,600to97,800frominformationfoundathttp://ce-npdp-serv2.stanford.edu/DamDirectory/DamDetail.jsp?npdp_id=CA00263,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
06/07/2003,97119,,0,,2398,,0.00,,
06/08/2003,97205,,86,,2291,,0.00,,
06/09/2003,97241,,36,,2339,,0.00,,
06/10/2003,97219,,-22,,2352,,0.00,,
06/11/2003,97205,,-14,,2067,,0.00,,
06/12/2003,97277,,72,,1819,,0.00,,
06/13/2003,97399,,122,,1612,,0.00,,
06/14/2003,97499,,100,,1391,,0.00,,
06/15/2003,97219,,-280,,1440,,0.00,,
06/16/2003,97133,,-86,,1440,,0.00,,
06/17/2003,97277,,144,,1508,,0.00,,
06/18/2003,97435,,158,,1330,,0.00,,
06/19/2003,97443,,8,,1313,,0.00,,
06/20/2003,97428,,-15,,1242,,0.00,,
06/21/2003,97593,,165,,1063,,0.00,,
06/22/2003,97715,,122,,947,,0.00,,
06/23/2003,97600,,-115,,896,,0.00,,
06/24/2003,97571,,-29,,857,,0.00,,
06/25/2003,97542,,-29,,857,,0.00,,
06/26/2003,97521,,-21,,857,,0.00,,
06/27/2003,97535,,14,,823,,0.00,,
06/28/2003,97593,,58,,805,,0.00,,
06/29/2003,97636,,43,,805,,0.00,,
06/30/2003,97672,,36,,806,,0.00,,
07/01/2003,97643,,-29,,806,,0.00,,
07/02/2003,97629,,-14,,771,,0.00,,
07/03/2003,97629,,0,,752,,0.00,,
07/04/2003,97629,,0,,750,,0.00,,
07/05/2003,97600,,-29,,751,,0.00,,
07/06/2003,97593,,-7,,751,,0.00,,
07/07/2003,97571,,-22,,751,,0.00,,
07/08/2003,97313,,-258,,645,,0.00,,
07/09/2003,97227,,-86,,565,,0.00,,
07/10/2003,97255,,28,,540,,0.00,,
07/11/2003,97241,,-14,,544,,0.00,,
07/12/2003,97212,,--,,547,,0.00,,
07/13/2003,97133,,--,,548,,0.00,,
07/14/2003,97155,,22,,540,,0.00,,
07/15/2003,97147,,--,,538,,0.00,,
07/16/2003,97133,,-14,,538,,0.00,,
07/17/2003,97075,,-58,,543,,0.00,,
07/18/2003,97111,,36,,542,,0.00,,
07/19/2003,96832,,-279,,544,,0.00,,
07/20/2003,96459,,-373,,544,,0.00,,
07/21/2003,96466,,7,,544,,0.00,,
07/22/2003,96480,,14,,541,,0.00,,
07/23/2003,96509,,29,,539,,0.00,,
07/24/2003,96530,,--,,539,,0.00,,
07/25/2003,96380,,-150,,543,,0.00,,
07/26/2003,96072,,-308,,541,,0.00,,
07/27/2003,95737,,-335,,543,,0.00,,
07/28/2003,95744,,7,,543,,0.00,,
07/29/2003,95766,,22,,544,,0.00,,
07/30/2003,95780,,14,,544,,0.06,,
07/31/2003,95581,,-199,,543,,0.00,,
08/01/2003,95416,,-165,,543,,0.26,,
08/02/2003,95082,,-334,,554,,1.30,,
08/03/2003,94719,,-363,,554,,0.10,,
08/04/2003,94535,,-184,,554,,0.00,,
08/05/2003,93947,,-588,,547,,0.00,,
08/06/2003,93267,,-680,,556,,0.00,,
08/07/2003,92450,,-817,,557,,0.00,,
08/08/2003,92415,,--,,556,,0.00,,
08/09/2003,91845,,-570,,557,,0.00,,
08/10/2003,91242,,-603,,557,,0.00,,
08/11/2003,90885,,-357,,556,,0.00,,
08/12/2003,90327,,-558,,557,,0.00,,
08/13/2003,89791,,-536,,554,,0.00,,
08/14/2003,89214,,-577,,550,,0.00,,
08/15/2003,88638,,-576,,528,,0.00,,
08/16/2003,88293,,-345,,532,,0.00,,
08/17/2003,87782,,-511,,531,,0.00,,
08/18/2003,86999,,-783,,538,,0.00,,
08/19/2003,86033,,-966,,536,,0.00,,
08/20/2003,85378,,-655,,542,,0.00,,
08/21/2003,84894,,-484,,541,,0.00,,
08/22/2003,84493,,-401,,540,,0.00,,
08/23/2003,84337,,-156,,539,,0.00,,
08/24/2003,84236,,-101,,539,,0.00,,
08/25/2003,84127,,-109,,543,,0.00,,
08/26/2003,83944,,-183,,541,,0.09,,
08/27/2003,83667,,-277,,540,,0.00,,
08/28/2003,83451,,-216,,544,,0.00,,
08/29/2003,83161,,-290,,541,,0.00,,
08/30/2003,82514,,-647,,540,,0.00,,
08/31/2003,82213,,-301,,539,,0.00,,
09/01/2003,81904,,-309,,542,,0.00,,
09/02/2003,81696,,-208,,542,,0.00,,
09/03/2003,81469,,-227,,540,,0.00,,
09/04/2003,81302,,-167,,534,,0.06,,
09/05/2003,81067,,-235,,511,,0.00,,
09/06/2003,80808,,-259,,512,,0.00,,
09/07/2003,80375,,-433,,511,,0.00,,
09/08/2003,79837,,-538,,509,,0.00,,
09/09/2003,79156,,-681,,509,,0.00,,
09/10/2003,78344,,-812,,511,,0.00,,
09/11/2003,77680,,-664,,513,,0.00,,
09/12/2003,77392,,-288,,514,,0.00,,
09/13/2003,76809,,-583,,509,,0.00,,
09/14/2003,76366,,-443,,509,,0.00,,
09/15/2003,75618,,-748,,508,,0.00,,
09/16/2003,75106,,-512,,510,,0.00,,
09/17/2003,74247,,-859,,511,,0.00,,
09/18/2003,73578,,-669,,512,,0.00,,
09/19/2003,73325,,-253,,573,,0.00,,
09/20/2003,73040,,-285,,513,,0.00,,
09/21/2003,72860,,-180,,510,,0.00,,
09/22/2003,72649,,-211,,508,,0.00,,
09/23/2003,72452,,-197,,510,,0.00,,
09/24/2003,72082,,-370,,509,,0.00,,
09/25/2003,71636,,-446,,550,,0.00,,
09/26/2003,71306,,-330,,549,,0.00,,
09/27/2003,70995,,-311,,407,,0.00,,
09/28/2003,70843,,-152,,154,,0.00,,
09/29/2003,71261,,418,,155,,0.00,,
09/30/2003,71604,,343,,155,,0.00,,
10/01/2003,72011,,407,,156,,0.00,,
10/02/2003,72107,,96,,155,,0.00,,
10/03/2003,72030,,-77,,155,,0.00,,
10/04/2003,71808,,-222,,154,,0.00,,
10/05/2003,71757,,-51,,155,,0.00,,
10/06/2003,72043,,286,,255,,0.00,,
10/07/2003,72445,,402,,155,,0.00,,
10/08/2003,72471,,26,,216,,0.00,,
10/09/2003,72892,,421,,156,,0.00,,
10/10/2003,73181,,289,,309,,0.00,,
10/11/2003,73245,,64,,153,,0.00,,
10/12/2003,73822,,577,,156,,0.00,,
10/13/2003,73861,,39,,154,,0.00,,
10/14/2003,74395,,534,,154,,0.00,,
10/15/2003,74789,,394,,155,,0.00,,
10/16/2003,75164,,375,,155,,0.00,,
10/17/2003,75541,,377,,155,,0.00,,
10/18/2003,75300,,-241,,156,,0.00,,
10/19/2003,75307,,7,,155,,0.00,,
10/20/2003,75333,,26,,154,,0.00,,
10/21/2003,75352,,19,,150,,0.00,,
10/22/2003,75281,,-71,,152,,0.00,,
10/23/2003,75067,,-214,,152,,0.00,,
10/24/2003,75183,,116,,152,,0.00,,
10/25/2003,75138,,-45,,152,,0.00,,
10/26/2003,75164,,26,,171,,0.00,,
10/27/2003,75265,e,101,,149,,0.00,,
10/28/2003,75365,,100,,147,,0.00,,
10/29/2003,75339,,-26,,148,,0.00,,
10/30/2003,75424,,85,,149,,0.00,,
10/31/2003,75521,,97,,147,,0.00,,
11/01/2003,75566,,45,,148,,0.08,,
11/02/2003,75637,,71,,148,,0.00,,
11/03/2003,75689,,52,,192,,0.42,,
11/04/2003,75787,,98,,142,,0.00,,
11/05/2003,75819,,32,,143,,0.00,,
11/06/2003,75761,,-58,,140,,0.00,,
11/07/2003,75592,,-169,,140,,0.00,,
11/08/2003,75554,,-38,,153,,0.00,,
11/09/2003,75676,,122,,154,,0.90,,
11/10/2003,75657,,-19,,150,,0.64,,
11/11/2003,75586,,-71,,150,,0.00,,
11/12/2003,75566,,-20,,150,,0.00,,
11/13/2003,75333,,-233,,148,,0.00,,
11/14/2003,75100,,-233,,147,,0.00,,
11/15/2003,74880,,-220,,156,,0.64,,
11/16/2003,74776,,-104,,153,,0.11,,
11/17/2003,74530,,-246,,154,,0.00,,
11/18/2003,74279,,-251,,150,,0.00,,
11/19/2003,74034,,-245,,150,,0.00,,
11/20/2003,73784,,-250,,153,,0.00,,
11/21/2003,73533,,-251,,152,,0.00,,
11/22/2003,73283,,-250,,153,,0.00,,
