Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
06/07/2003,273708,,--,,1666,,0.00,,
06/08/2003,273889,,--,,1528,,0.00,,
06/09/2003,274070,,--,,1594,,0.00,,
06/10/2003,273889,,--,,1840,,0.00,,
06/11/2003,273526,,--,,1504,,0.00,,
06/12/2003,274070,,--,,1270,,0.00,,
06/13/2003,273526,,-544,,1167,,0.00,,
06/14/2003,273526,,0,,1115,,0.00,,
06/15/2003,273708,,182,,--,,--,,
06/16/2003,273889,,181,,1131,,0.00,,
06/17/2003,273889,,--,,1078,,0.00,,
06/18/2003,273889,,--,,1078,,0.00,,
06/19/2003,273708,,--,,1031,,0.00,,
06/20/2003,273526,,-182,,936,,0.00,,
06/21/2003,273345,e,-181,,872,,0.00,,
06/22/2003,273164,e,-181,,866,,0.00,,
06/23/2003,272982,,-182,,712,,0.00,,
06/24/2003,272801,,--,,739,,0.00,,
06/25/2003,272620,,--,,650,,0.00,,
06/26/2003,272438,,--,,690,,0.00,,
06/27/2003,272438,,0,,525,,0.00,,
06/28/2003,272438,,0,,462,,0.00,,
06/29/2003,272982,,544,,462,,0.00,,
06/30/2003,273889,,907,,181,,0.00,,
07/01/2003,273526,,-363,,445,,0.00,,
07/02/2003,273345,,--,,318,,0.00,,
07/03/2003,273164,,--,,332,,0.00,,
07/04/2003,273164,,--,,242,,0.00,,
07/05/2003,272982,,--,,232,,0.00,,
07/06/2003,272620,,-362,,261,,0.00,,
07/07/2003,272801,,181,,261,,0.00,,
07/08/2003,272801,,--,,226,,0.00,,
07/09/2003,272438,,-363,,316,,0.00,,
07/10/2003,271894,,-544,,340,,0.00,,
07/11/2003,271350,,--,,315,,0.00,,
07/12/2003,270806,,--,,321,,0.00,,
07/13/2003,270625,,--,,261,,0.00,,
07/14/2003,270987,,--,,46,,0.00,,
07/15/2003,270262,,--,,335,,0.00,,
07/16/2003,269718,,--,,343,,0.00,,
07/17/2003,268992,,--,,345,,0.00,,
07/18/2003,268811,,--,,333,,0.00,,
07/19/2003,267756,,--,,327,,0.00,,
07/20/2003,267580,,-176,,300,,0.04,,
07/21/2003,267932,,352,,841,,0.00,,
07/22/2003,267405,,--,,307,,0.00,,
07/23/2003,266877,,--,,316,,0.00,,
07/24/2003,266174,,--,,453,,0.00,,
07/25/2003,265647,,--,,420,,0.00,,
07/26/2003,264943,,--,,320,,0.00,,
07/27/2003,265119,,--,,142,,0.00,,
07/28/2003,265295,,--,,46,,0.00,,
07/29/2003,264768,,--,,305,,0.00,,
07/30/2003,264416,,-352,,315,,0.02,,
07/31/2003,263713,,-703,,327,,0.10,,
08/01/2003,263713,,--,,315,,0.35,,
08/02/2003,263361,,--,,1115,,0.72,,
08/03/2003,263889,,--,,135,,0.17,,
08/04/2003,264240,,--,,45,,0.00,,
08/05/2003,263713,,--,,340,,0.00,,
08/06/2003,263185,,--,,305,,0.00,,
08/07/2003,262658,,--,,325,,0.00,,
08/08/2003,261955,,--,,310,,0.00,,
08/09/2003,261252,,--,,292,,0.00,,
08/10/2003,261252,,--,,132,,0.00,,
08/11/2003,261076,,--,,45,,0.00,,
08/12/2003,260548,,--,,1099,,0.00,,
08/13/2003,260021,,--,,295,,0.00,,
08/14/2003,259318,,--,,302,,0.00,,
08/15/2003,258790,,--,,304,,0.00,,
08/16/2003,258087,,--,,307,,0.00,,
08/17/2003,258087,,--,,135,,0.00,,
08/18/2003,258439,,--,,45,,0.00,,
08/19/2003,257736,,-703,,303,,0.00,,
08/20/2003,257208,,-528,,308,,0.00,,
08/21/2003,256505,,-703,,--,,--,,
08/22/2003,255802,,-703,,310,,0.02,,
08/23/2003,255099,,--,,307,,0.00,,
08/24/2003,255274,,175,,134,,0.00,,
08/25/2003,255450,,176,,--,,--,,
08/26/2003,254747,,-703,,293,,0.03,,
08/27/2003,254220,,--,,305,,0.01,,
08/28/2003,253516,,--,,333,,0.00,,
08/29/2003,252813,,--,,318,,0.00,,
08/30/2003,252110,,--,,323,,0.00,,
08/31/2003,251758,,--,,183,,0.00,,
09/01/2003,251407,,--,,181,,0.00,,
09/02/2003,251059,,--,,142,,0.00,,
09/03/2003,250373,,--,,372,,0.00,,
09/04/2003,249516,,--,,244,,0.02,,
09/05/2003,248829,,--,,328,,0.00,,
09/06/2003,248658,,--,,212,,0.00,,
09/07/2003,248315,,-343,,145,,0.00,,
09/08/2003,247800,,-515,,201,,0.00,,
09/09/2003,247114,,--,,370,,0.00,,
09/10/2003,246085,,--,,518,,0.00,,
09/11/2003,245055,,--,,481,,0.00,,
09/12/2003,244197,,--,,1275,,0.00,,
09/13/2003,243168,,--,,485,,0.00,,
09/14/2003,242482,,--,,297,,0.00,,
09/15/2003,242139,,--,,129,,0.00,,
09/16/2003,241110,,--,,474,,0.00,,
09/17/2003,240252,,-858,,476,,0.00,,
09/18/2003,239223,,-1029,,502,,0.00,,
09/19/2003,238193,,--,,499,,0.00,,
09/20/2003,237335,,--,,396,,0.00,,
09/21/2003,237164,,--,,28,,0.00,,
09/22/2003,237164,,--,,54,,0.00,,
09/23/2003,236135,,--,,464,,0.00,,
09/24/2003,235105,,--,,478,,0.00,,
09/25/2003,234076,,-1029,,505,,0.00,,
09/26/2003,232907,,-1169,,--,,--,,
09/27/2003,232071,,-836,,415,,0.00,,
09/28/2003,232071,,0,,30,,0.00,,
09/29/2003,231737,,--,,502,,0.00,,
09/30/2003,230735,,--,,497,,0.00,,
10/01/2003,229900,,--,,418,,0.00,,
10/02/2003,229566,,--,,145,,0.00,,
10/03/2003,229232,,--,,122,,0.00,,
10/04/2003,229232,,--,,56,,0.00,,
10/05/2003,229232,,--,,16,,0.00,,
10/06/2003,229065,,--,,16,,0.00,,
10/07/2003,228897,,--,,113,,0.00,,
10/08/2003,228563,,--,,139,,0.00,,
10/09/2003,228229,,-334,,149,,0.00,,
10/10/2003,227895,,-334,,159,,0.00,,
10/11/2003,227561,,-334,,168,,0.00,,
10/12/2003,227394,,-167,,104,,0.00,,
10/13/2003,227060,,-334,,67,,0.00,,
10/14/2003,226726,,-334,,188,,0.00,,
10/15/2003,226392,,--,,210,,0.00,,
10/16/2003,225891,,--,,204,,0.00,,
10/17/2003,225389,,--,,246,,0.00,,
10/18/2003,224888,,-501,,248,,0.00,,
10/19/2003,224554,,-334,,--,,--,,
10/20/2003,224387,,--,,108,,0.00,,
10/21/2003,223719,,--,,274,,0.00,,
10/22/2003,223218,,--,,253,,0.00,,
10/23/2003,222717,,--,,251,,0.00,,
10/24/2003,222215,,--,,260,,0.00,,
10/25/2003,221714,,--,,219,,0.00,,
10/26/2003,221380,,--,,171,,0.00,,
10/27/2003,221213,,--,,71,,0.00,,
10/28/2003,220712,,--,,236,,0.00,,
10/29/2003,220211,,--,,251,,0.00,,
10/30/2003,219543,,--,,261,,0.00,,
10/31/2003,219042,,--,,284,,0.00,,
11/01/2003,218540,,--,,501,,0.25,,
11/02/2003,218273,,--,,43,,0.02,,
11/03/2003,218039,,--,,172,,0.81,,
11/04/2003,218039,,0,,62,,0.08,,
11/05/2003,217872,,-167,,--,,--,,
11/06/2003,217705,,-167,,69,,0.00,,
11/07/2003,217538,,--,,130,,0.05,,
11/08/2003,217208,,--,,98,,0.02,,
11/09/2003,217538,,--,,21,,1.84,,
11/10/2003,217872,,--,,94,,0.10,,
11/11/2003,217705,,-167,,93,,0.00,,
11/12/2003,217538,,-167,,--,,--,,
11/13/2003,217208,,-330,,251,,0.00,,
11/14/2003,216883,,-325,,--,,--,,
11/15/2003,216557,,-326,,255,,0.38,,
11/16/2003,216069,,--,,337,,0.19,,
11/17/2003,215255,,--,,477,,0.00,,
11/18/2003,214442,,--,,476,,0.00,,
11/19/2003,213791,,--,,433,,0.00,,
11/20/2003,213140,,--,,379,,0.00,,
11/21/2003,212489,,--,,360,,0.00,,
11/22/2003,212000,,--,,310,,0.00,,
11/23/2003,212000,,0,,68,,0.00,,
11/24/2003,211838,,0,,101,,0.00,,
11/25/2003,211187,,--,,322,,0.00,,
11/26/2003,210373,,--,,366,,0.00,,
11/27/2003,209885,,--,,355,,0.00,,
11/28/2003,209559,,--,,171,,0.00,,
11/29/2003,209071,,--,,234,,0.00,,
11/30/2003,208745,,--,,165,,0.00,,
12/01/2003,208583,,--,,160,,0.00,,
12/02/2003,207932,,-651,,303,,0.11,,
12/03/2003,207281,,-651,,368,,0.00,,
12/04/2003,206630,,--,,350,,0.00,,
12/05/2003,206141,,-489,,352,,0.29,,
12/06/2003,208260,e,2119,,352,,0.66,,
12/07/2003,210373,,2113,,352,,2.70,,
12/08/2003,211349,,976,,110,,0.01,,
12/09/2003,211838,,--,,323,,0.00,,
12/10/2003,212651,,--,,328,,1.16,,
12/11/2003,213140,,489,,345,,0.73,,
12/12/2003,213628,,488,,358,,0.10,,
12/13/2003,214279,,651,,297,,0.33,,
12/14/2003,215093,,814,,237,,0.64,,
12/15/2003,215744,,--,,259,,0.39,,
12/16/2003,216069,,--,,349,,0.00,,
12/17/2003,216395,,326,,351,,0.00,,
12/18/2003,216720,,325,,--,,--,,
12/19/2003,217208,,488,,351,,0.00,,
12/20/2003,218039,,831,,332,,0.68,,
12/21/2003,218707,,668,,282,,0.05,,
12/22/2003,218039,,-668,,163,,0.00,,
12/23/2003,220044,,2005,,--,,--,,
12/24/2003,220712,,668,,--,,--,,
12/25/2003,222383,,--,,283,,1.75,,
12/26/2003,222884,,--,,317,,0.36,,
12/27/2003,223385,,--,,317,,0.00,,
12/28/2003,223719,,334,,280,,0.00,,
12/29/2003,224053,,334,,312,,0.15,,
12/30/2003,224888,,835,,270,,2.00,,
12/31/2003,225556,,668,,265,,0.26,,
01/01/2004,226392,,836,,235,,0.98,,
01/02/2004,226559,,--,,477,,1.73,,
01/03/2004,226392,,--,,584,,0.63,,
01/04/2004,226392,,--,,546,,0.00,,
01/05/2004,226726,,--,,330,,0.00,,
01/06/2004,226559,,-167,,605,,0.00,,
01/07/2004,226058,,-501,,675,,0.31,,
01/08/2004,226058,,--,,538,,0.03,,
01/09/2004,226225,,--,,480,,0.00,,
01/10/2004,226392,,--,,425,,0.00,,
01/11/2004,226559,,--,,426,,0.00,,
01/12/2004,226726,,--,,407,,0.00,,
01/13/2004,226559,,--,,602,,0.00,,
01/14/2004,227060,,--,,204,,0.00,,
01/15/2004,227227,,--,,341,,0.00,,
01/16/2004,227227,,--,,539,,0.00,,
01/17/2004,227728,,--,,290,,0.00,,
01/18/2004,228396,,--,,209,,0.00,,
01/19/2004,228730,,--,,197,,0.00,,
01/20/2004,228897,,--,,386,,0.00,,
01/21/2004,228229,,--,,703,,0.00,,
01/22/2004,227728,,--,,672,,0.00,,
01/23/2004,227394,,--,,637,,0.00,,
01/24/2004,227060,,-334,,587,,0.00,,
01/25/2004,226890,e,-170,,449,,0.00,,
01/26/2004,226720,e,-170,,420,,0.00,,
01/27/2004,226559,,-161,,646,,0.11,,
01/28/2004,226225,,--,,585,,0.64,,
01/29/2004,225891,,--,,565,,0.00,,
01/30/2004,225556,,--,,611,,0.00,,
01/31/2004,225389,,--,,500,,0.04,,
02/01/2004,225055,,-334,,517,,0.00,,
02/02/2004,225055,,0,,430,,0.02,,
02/03/2004,224721,,--,,520,,1.54,,
02/04/2004,224220,,-501,,475,,0.24,,
02/05/2004,224053,,-167,,--,,--,,
02/06/2004,223552,,-501,,481,,0.00,,
02/07/2004,223051,,--,,452,,0.09,,
02/08/2004,222884,,-167,,329,,0.00,,
02/09/2004,222550,,-334,,--,,--,,
02/10/2004,221714,,-836,,--,,--,,
02/11/2004,221046,,-668,,--,,--,,
