Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
06/07/2003,5935.94,,9639,,18,,
06/08/2003,5935.93,,9630,,-9,,
06/09/2003,5935.88,,9587,,-43,,
06/10/2003,5935.86,,9570,,-17,,
06/11/2003,5935.87,,9579,,9,,
06/12/2003,5935.90,,9604,,25,,
06/13/2003,5935.91,,9613,,9,,
06/14/2003,5935.92,,9621,,8,,
06/15/2003,5935.92,,9621,,0,,
06/16/2003,5935.92,,9621,,0,,
06/17/2003,5935.92,,9621,,0,,
06/18/2003,5935.91,,9613,,-8,,
06/19/2003,5935.88,,9587,,-26,,
06/20/2003,5935.85,,9561,,-26,,
06/21/2003,5935.80,,9518,,-43,,
06/22/2003,5935.76,,9484,,-34,,
06/23/2003,5935.78,,9501,,17,,
06/24/2003,5935.78,,9501,,0,,
06/25/2003,5935.80,,9518,,17,,
06/26/2003,5935.83,,9544,,26,,
06/27/2003,5935.85,,9561,,17,,
06/28/2003,5935.87,,9579,,18,,
06/29/2003,5935.87,,9579,,0,,
06/30/2003,5935.88,,9587,,8,,
07/01/2003,5935.87,,9579,,-8,,
07/02/2003,5935.86,,9570,,-9,,
07/03/2003,5935.87,,9579,,9,,
07/04/2003,5935.87,,9579,,0,,
07/05/2003,5935.87,,9579,,0,,
07/06/2003,5935.86,,9570,,-9,,
07/07/2003,5935.84,,9552,,-18,,
07/08/2003,5935.83,,9544,,-8,,
07/09/2003,5935.83,,9544,,0,,
07/10/2003,5935.82,,9535,,-9,,
07/11/2003,5935.80,,9518,,-17,,
07/12/2003,5935.79,,9510,,-8,,
07/13/2003,5935.77,,9492,,-18,,
07/14/2003,5935.76,,9484,,-8,,
07/15/2003,5935.74,,9467,,-17,,
07/16/2003,5935.73,,9458,,-9,,
07/17/2003,5935.72,,9450,,-8,,
07/18/2003,5935.71,,9441,,-9,,
07/19/2003,5935.70,,9432,,-9,,
07/20/2003,5935.70,,9432,,0,,
07/21/2003,5935.68,,9415,,-17,,
07/22/2003,5935.68,,9415,,0,,
07/23/2003,5935.67,,9406,,-8,,
07/24/2003,5935.66,,9398,,-9,,
07/25/2003,5935.64,,9381,,-17,,
07/26/2003,5935.62,,9364,,-17,,
07/27/2003,5935.61,,9355,,-9,,
07/28/2003,5935.59,,9338,,-17,,
07/29/2003,5935.58,,9329,,-9,,
07/30/2003,5935.56,,9312,,-17,,
07/31/2003,5935.58,,9329,,17,,
08/01/2003,5935.56,,9312,,-17,,
08/02/2003,5935.59,,9338,,26,,
08/03/2003,5935.57,,9321,,-17,,
08/04/2003,5935.55,,9303,,-18,,
08/05/2003,5935.53,,9286,,-17,,
08/06/2003,5935.51,,9269,,-17,,
08/07/2003,5935.47,,9235,,-34,,
08/08/2003,5935.45,,9218,,-17,,
08/09/2003,5935.43,,9201,,-17,,
08/10/2003,5935.40,,9175,,-26,,
08/11/2003,5935.37,,9150,,-25,,
08/12/2003,5935.34,,9124,,-26,,
08/13/2003,5935.32,,9107,,-17,,
08/14/2003,5935.31,,9098,,-9,,
08/15/2003,5935.29,,9081,,-17,,
08/16/2003,5935.27,,9064,,-17,,
08/17/2003,5935.25,,9047,,-17,,
08/18/2003,5935.24,,9039,,-8,,
08/19/2003,5935.22,,9021,,-18,,
08/20/2003,5935.21,,9013,,-8,,
08/21/2003,5935.25,,9047,,34,,
08/22/2003,5935.24,,9039,,-8,,
08/23/2003,5935.22,,9021,,-18,,
08/24/2003,5935.20,,9004,,-17,,
08/25/2003,5935.19,,8996,,-8,,
08/26/2003,5935.19,,8996,,0,,
08/27/2003,--,,--,,--,,
08/28/2003,5935.15,,8961,,--,,
08/29/2003,5935.13,,8944,,-17,,
08/30/2003,5935.12,,8936,,-8,,
08/31/2003,5935.10,,8919,,-17,,
09/01/2003,5935.08,,8902,,-17,,
09/02/2003,5935.07,,8893,,-9,,
09/03/2003,5935.05,,8876,,-17,,
09/04/2003,5935.05,,8876,,0,,
09/05/2003,5935.02,,8851,,-25,,
09/06/2003,5935.00,,8834,,-17,,
09/07/2003,5934.96,,8800,,-34,,
09/08/2003,5934.93,,8774,,-26,,
09/09/2003,5934.89,,8740,,-34,,
09/10/2003,5934.83,,8689,,-51,,
09/11/2003,5934.72,,8596,,-93,,
09/12/2003,5934.59,,8485,,-111,,
09/13/2003,5934.46,,8375,,-110,,
09/14/2003,5934.33,,8265,,-110,,
09/15/2003,5934.20,,8155,,-110,,
09/16/2003,5934.05,,8029,,-126,,
09/17/2003,5933.92,,7919,,-110,,
09/18/2003,5933.80,,7818,,-101,,
09/19/2003,--,,--,,--,,
09/20/2003,5933.56,,7617,,--,,
09/21/2003,5933.44,,7517,,-100,,
09/22/2003,5933.32,,7416,,-101,,
09/23/2003,5933.21,,7325,,-91,,
09/24/2003,5933.09,,7225,,-100,,
09/25/2003,5932.96,,7116,,-109,,
09/26/2003,5932.83,,7009,,-107,,
09/27/2003,5932.71,,6909,,-100,,
09/28/2003,5932.58,,6801,,-108,,
