05/29/2015,ThereservoircapacitywasupdatedMay2015withinformationfromtheUSBR,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,
 ,AF, ,AF, ,CFS, ,
06/07/2003,63733,,109,,1905,,
06/08/2003,63884,,151,,1820,,
06/09/2003,64027,,143,,1887,,
06/10/2003,63640,,-387,,1918,,
06/11/2003,63384,,-256,,1655,,
06/12/2003,63288,,-96,,1467,,
06/13/2003,63246,,-42,,1315,,
06/14/2003,63598,,352,,1075,,
06/15/2003,64035,,437,,1058,,
06/16/2003,64195,,160,,1242,,
06/17/2003,63989,,-206,,1400,,
06/18/2003,63930,,-59,,1206,,
06/19/2003,63926,,-4,,1123,,
06/20/2003,63779,,-147,,1030,,
06/21/2003,63682,,-97,,881,,
06/22/2003,63804,,122,,744,,
06/23/2003,63909,,105,,702,,
06/24/2003,63771,,-138,,701,,
06/25/2003,63577,,-194,,701,,
06/26/2003,63436,,-141,,698,,
06/27/2003,63292,,-144,,690,,
06/28/2003,63183,,-109,,701,,
06/29/2003,63111,,-72,,700,,
06/30/2003,62948,,-163,,699,,
07/01/2003,62706,,-242,,669,,
07/02/2003,62417,,-289,,653,,
07/03/2003,62104,,-313,,654,,
07/04/2003,61717,,-387,,655,,
07/05/2003,61314,,-403,,654,,
07/06/2003,60887,,-427,,655,,
07/07/2003,60432,,-455,,653,,
07/08/2003,60328,,-104,,449,,
07/09/2003,60196,,-132,,476,,
07/10/2003,59994,,-202,,504,,
07/11/2003,59800,,-194,,487,,
07/12/2003,59583,,--,,487,,
07/13/2003,59365,,--,,467,,
07/14/2003,59062,,-303,,504,,
07/15/2003,58756,,--,,493,,
07/16/2003,58450,,-306,,486,,
07/17/2003,58169,,-281,,475,,
07/18/2003,57723,,-446,,528,,
07/19/2003,57605,,-118,,345,,
07/20/2003,57621,,16,,317,,
07/21/2003,57261,,-360,,503,,
07/22/2003,56861,,-400,,503,,
07/23/2003,56486,,-375,,507,,
07/24/2003,56088,,--,,506,,
07/25/2003,55767,,-321,,431,,
07/26/2003,55587,,-180,,347,,
07/27/2003,55411,,-176,,341,,
07/28/2003,54965,,-446,,504,,
07/29/2003,54540,,-425,,506,,
07/30/2003,54053,,-487,,511,,
07/31/2003,53725,,-328,,425,,
08/01/2003,53445,,-280,,429,,
08/02/2003,53366,,-79,,317,,
08/03/2003,53291,,-75,,316,,
08/04/2003,52977,,-314,,409,,
08/05/2003,53009,,32,,213,,
08/06/2003,53150,,141,,159,,
08/07/2003,53107,,-43,,241,,
08/08/2003,52856,,--,,347,,
08/09/2003,52769,,-87,,228,,
08/10/2003,52745,,-24,,260,,
08/11/2003,52432,,-313,,344,,
08/12/2003,52264,,-168,,244,,
08/13/2003,52088,,-176,,257,,
08/14/2003,51956,,-132,,224,,
08/15/2003,51819,,-137,,214,,
08/16/2003,51496,,-323,,316,,
08/17/2003,51297,,-199,,240,,
08/18/2003,51352,,55,,117,,
08/19/2003,51558,,206,,20,,
08/20/2003,51485,,-73,,166,,
08/21/2003,51232,,-253,,273,,
08/22/2003,50976,,-256,,302,,
08/23/2003,50368,,-608,,427,,
08/24/2003,49644,,-724,,453,,
08/25/2003,48951,,-693,,436,,
08/26/2003,48348,,-603,,411,,
08/27/2003,47862,,-486,,366,,
08/28/2003,47214,,-648,,414,,
08/29/2003,46666,,-548,,371,,
08/30/2003,46440,,-226,,181,,
08/31/2003,45870,,-570,,350,,
09/01/2003,45329,,-541,,351,,
09/02/2003,44710,,-619,,394,,
09/03/2003,44161,,-549,,385,,
09/04/2003,43610,,-551,,408,,
09/05/2003,43046,,-564,,356,,
09/06/2003,42459,,-587,,354,,
09/07/2003,42032,,-427,,256,,
09/08/2003,41744,,-288,,208,,
09/09/2003,41595,,-149,,132,,
09/10/2003,41616,,21,,52,,
09/11/2003,41460,,-156,,143,,
09/12/2003,40931,,-529,,331,,
09/13/2003,40646,,-285,,356,,
09/14/2003,40221,,-425,,253,,
09/15/2003,40109,,-112,,107,,
09/16/2003,39778,,-331,,216,,
09/17/2003,38789,,-989,,52,,
09/18/2003,39609,,820,,146,,
09/19/2003,39000,,-609,,355,,
09/20/2003,38398,,-602,,329,,
09/21/2003,37741,,-657,,382,,
09/22/2003,37110,,-631,,371,,
09/23/2003,36499,,-611,,354,,
09/24/2003,35996,,-503,,296,,
09/25/2003,35432,,-564,,293,,
09/26/2003,34801,,-631,,342,,
09/27/2003,34435,,-366,,226,,
09/28/2003,34414,,-21,,55,,
09/29/2003,33845,,-569,,331,,
09/30/2003,33331,,-514,,306,,
10/01/2003,32771,,-560,,327,,
10/02/2003,32492,,-279,,182,,
10/03/2003,32407,,-85,,87,,
10/04/2003,32439,,32,,20,,
10/05/2003,32309,,-130,,105,,
10/06/2003,31832,,-477,,275,,
10/07/2003,31208,,-624,,338,,
10/08/2003,30894,,-314,,216,,
10/09/2003,30239,,-655,,337,,
10/10/2003,29767,,-472,,262,,
10/11/2003,29503,,-264,,171,,
10/12/2003,28750,,-753,,422,,
10/13/2003,28501,,-249,,149,,
10/14/2003,27739,,-762,,395,,
10/15/2003,27151,,-588,,332,,
10/16/2003,26571,,-580,,312,,
10/17/2003,26006,,-565,,317,,
10/18/2003,26028,,22,,20,,
10/19/2003,25846,,-182,,126,,
10/20/2003,25620,,-226,,156,,
10/21/2003,25400,,-220,,134,,
10/22/2003,25270,,-130,,95,,
10/23/2003,25260,,-10,,20,,
10/24/2003,24924,,-336,,186,,
10/25/2003,24769,,-155,,110,,
10/26/2003,24551,,-218,,146,,
10/27/2003,24260,e,-291,,227,,
10/28/2003,23972,,-288,,120,,
10/29/2003,23808,,-164,,115,,
10/30/2003,23538,,-270,,167,,
10/31/2003,23303,,-235,,167,,
11/01/2003,23087,,-216,,147,,
11/02/2003,22863,,-224,,159,,
11/03/2003,22707,,-156,,138,,
11/04/2003,22441,,-266,,171,,
11/05/2003,22296,,-145,,140,,
11/06/2003,22203,,-93,,112,,
11/07/2003,22237,,34,,87,,
11/08/2003,22157,,-80,,111,,
11/09/2003,22055,,-102,,168,,
11/10/2003,21948,,-107,,128,,
11/11/2003,21889,,-59,,101,,
11/12/2003,21766,,-123,,136,,
11/13/2003,21883,,117,,20,,
11/14/2003,21997,,114,,20,,
11/15/2003,22160,,163,,20,,
11/16/2003,22133,,-27,,94,,
11/17/2003,22247,,114,,20,,
11/18/2003,22370,,123,,20,,
11/19/2003,22490,,120,,20,,
11/20/2003,22611,,121,,20,,
11/21/2003,22726,,115,,20,,
11/22/2003,22829,,103,,20,,
11/23/2003,22935,,106,,20,,
11/24/2003,23034,,99,,20,,
11/25/2003,23137,,103,,20,,
11/26/2003,23237,,100,,20,,
11/27/2003,23337,,100,,20,,
11/28/2003,23450,,113,,20,,
11/29/2003,23563,,113,,20,,
11/30/2003,23669,,106,,20,,
12/01/2003,23783,,114,,20,,
12/02/2003,23899,,116,,20,,
12/03/2003,24000,,101,,20,,
12/04/2003,23899,,-101,,140,,
12/05/2003,23764,,-135,,199,,
12/06/2003,24166,,402,,122,,
12/07/2003,24573,,407,,124,,
12/08/2003,24548,,-25,,161,,
12/09/2003,24264,,-284,,266,,
12/10/2003,23673,,-591,,446,,
12/11/2003,23212,,-461,,343,,
12/12/2003,22956,,-256,,234,,
12/13/2003,22822,,-134,,216,,
12/14/2003,22816,,-6,,148,,
12/15/2003,22500,,-316,,255,,
12/16/2003,22388,,--,,176,,
12/17/2003,22348,,-40,,135,,
12/18/2003,22093,,-255,,259,,
12/19/2003,22062,,-31,,126,,
12/20/2003,22015,,-47,,199,,
12/21/2003,21717,,-298,,299,,
12/22/2003,21365,,-352,,300,,
12/23/2003,20701,,-664,,466,,
12/24/2003,21108,,407,,20,,
12/25/2003,21377,,269,,289,,
12/26/2003,21182,,-195,,261,,
12/27/2003,20584,,-598,,433,,
12/28/2003,20037,,-547,,384,,
12/29/2003,19461,,-576,,482,,
12/30/2003,19030,,-431,,314,,
12/31/2003,18895,,-135,,198,,
01/01/2004,18878,,-17,,220,,
01/02/2004,18540,,-338,,275,,
01/03/2004,18210,,-330,,313,,
01/04/2004,17634,,-576,,382,,
01/05/2004,17004,,-630,,440,,
01/06/2004,16154,,-850,,551,,
01/07/2004,15919,,-235,,51,,
01/08/2004,15581,,-338,,284,,
01/09/2004,15269,,-312,,311,,
01/10/2004,15267,,-2,,143,,
01/11/2004,15422,,155,,49,,
01/12/2004,15100,,-322,,337,,
01/13/2004,14683,,-417,,333,,
01/14/2004,14397,,-286,,296,,
01/15/2004,14131,,-266,,273,,
01/16/2004,13820,,-311,,293,,
01/17/2004,13820,,0,,193,,
01/18/2004,13695,,-125,,196,,
01/19/2004,13594,,-101,,192,,
01/20/2004,13404,,-190,,253,,
01/21/2004,12955,,-449,,386,,
01/22/2004,12417,,-538,,400,,
01/23/2004,12197,,-220,,220,,
01/24/2004,11986,,-211,,254,,
01/25/2004,11787,,-199,,256,,
01/26/2004,11355,,-432,,332,,
01/27/2004,11035,,-320,,307,,
01/28/2004,10699,,-336,,290,,
01/29/2004,10408,,-291,,285,,
01/30/2004,10127,,-281,,285,,
01/31/2004,10340,,213,,20,,
02/01/2004,10257,,-83,,230,,
02/02/2004,10004,,-253,,229,,
02/03/2004,9746,,-258,,278,,
02/04/2004,9451,,-295,,277,,
02/05/2004,9428,,-23,,144,,
02/06/2004,9139,,-289,,210,,
02/07/2004,9335,,--,,20,,
02/08/2004,9100,,-235,,257,,
02/09/2004,9177,,77,,82,,
02/10/2004,9103,,-74,,203,,
02/11/2004,9016,,-87,,149,,
02/12/2004,8731,,-285,,269,,
02/13/2004,8374,,-357,,328,,
02/14/2004,8439,,65,,87,,
02/15/2004,8424,,-15,,144,,
02/16/2004,8542,,118,,168,,
02/17/2004,8881,,--,,151,,
02/18/2004,9236,,355,,109,,
02/19/2004,9335,,99,,177,,
02/20/2004,9206,,-129,,322,,
02/21/2004,9193,,-13,,204,,
02/22/2004,8959,,-234,,296,,
02/23/2004,8674,,-285,,316,,
02/24/2004,8374,,-300,,305,,
02/25/2004,8299,,-75,,286,,
02/26/2004,7943,,-356,,388,,
02/27/2004,7740,,-203,,278,,
02/28/2004,7845,,105,,131,,
02/29/2004,7427,,-418,,389,,
03/01/2004,7091,,-336,,346,,
03/02/2004,6744,,-347,,319,,
03/03/2004,6583,,-161,,243,,
03/04/2004,6539,,-44,,191,,
03/05/2004,6132,,-407,,364,,
03/06/2004,5979,,-153,,260,,
03/07/2004,5979,,0,,234,,
03/08/2004,6104,,125,,246,,
03/09/2004,6330,,226,,329,,
03/10/2004,6511,,181,,368,,
03/11/2004,6694,,183,,403,,
03/12/2004,6718,,24,,519,,
03/13/2004,6727,,9,,512,,
03/14/2004,6716,,-11,,585,,
03/15/2004,7002,,286,,494,,
03/16/2004,7052,,50,,725,,
03/17/2004,7038,,-14,,753,,
03/18/2004,7185,,147,,753,,
03/19/2004,7495,,310,,754,,
03/20/2004,7936,,441,,726,,
03/21/2004,8618,,682,,751,,
03/22/2004,9405,,787,,751,,
03/23/2004,10207,,802,,749,,
03/24/2004,10946,,739,,744,,
03/25/2004,11444,,498,,743,,
03/26/2004,11563,,119,,743,,
03/27/2004,11418,,-145,,743,,
03/28/2004,11274,,-144,,741,,
03/29/2004,11276,,2,,741,,
03/30/2004,11442,,166,,741,,
03/31/2004,11667,,225,,741,,
04/01/2004,11882,,215,,742,,
04/02/2004,11856,,--,,740,,
