Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,PPTINC , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,INCHES, ,
06/07/2003,527.64,,70486,,--,,4693,,4648,,0.00,,
06/08/2003,527.66,,70502,,16,,4751,,4759,,0.00,,
06/09/2003,527.48,,70354,,-148,,4719,,4644,,0.00,,
06/10/2003,526.48,,69539,,-815,,4070,,3660,,0.00,,
06/11/2003,524.71,,68114,,--,,4076,,3357,,0.00,,
06/12/2003,522.09,,66047,,-2067,,3732,,2690,,0.00,,
06/13/2003,521.05,,65240,,-807,,3138,,2731,,0.00,,
06/14/2003,520.48,,64801,,-439,,2865,,2643,,0.00,,
06/15/2003,520.23,,64609,,-192,,2867,,2770,,0.00,,
06/16/2003,520.02,,64448,,-161,,2868,,2787,,0.00,,
06/17/2003,520.17,,64563,,115,,2827,,2885,,0.00,,
06/18/2003,520.68,,64954,,391,,2800,,2997,,0.00,,
06/19/2003,520.85,,65085,,131,,2803,,2869,,0.00,,
06/20/2003,521.11,,65286,,201,,2803,,2904,,0.00,,
06/21/2003,521.28,,65418,,132,,2480,,2547,,0.00,,
06/22/2003,521.57,,65642,,224,,2338,,2451,,0.00,,
06/23/2003,522.73,,66547,,905,,2447,,2903,,0.00,,
06/24/2003,522.50,,66367,,-180,,2667,,2576,,0.00,,
06/25/2003,522.17,,66109,,-258,,2798,,2668,,0.00,,
06/26/2003,522.79,,66594,,485,,2798,,3043,,0.00,,
06/27/2003,523.49,,67145,,551,,2804,,3082,,0.00,,
06/28/2003,522.32,,66226,,-919,,2804,,2340,,0.00,,
06/29/2003,521.67,,65720,,--,,2792,,2536,,0.00,,
06/30/2003,522.34,,66242,,--,,2632,,2895,,0.00,,
07/01/2003,521.56,,65635,,--,,2476,,2170,,0.00,,
07/02/2003,521.19,,65348,,--,,2471,,2326,,0.00,,
07/03/2003,521.25,,65394,,46,,2411,,2435,,0.00,,
07/04/2003,520.91,,65132,,-262,,2337,,2205,,0.00,,
07/05/2003,520.69,,64962,,-170,,2327,,2241,,0.00,,
07/06/2003,520.26,,64632,,-330,,2326,,2159,,0.00,,
07/07/2003,520.82,,65062,,184,,2357,,2435,,0.00,,
07/08/2003,521.12,,65294,,--,,2385,,2502,,0.00,,
07/09/2003,520.80,,65047,,-539,,2385,,2261,,0.00,,
07/10/2003,521.23,,65379,,332,,2385,,2553,,0.00,,
07/11/2003,522.00,,65977,,598,,2385,,2687,,0.00,,
07/12/2003,522.21,,66140,,163,,2345,,2427,,0.00,,
07/13/2003,521.97,,65953,,-187,,2418,,2324,,0.00,,
07/14/2003,522.31,,66219,,266,,2472,,2606,,0.00,,
07/15/2003,522.03,,66000,,--,,2566,,2456,,0.00,,
07/16/2003,521.82,,65837,,-163,,2609,,2527,,0.00,,
07/17/2003,521.90,,65899,,--,,2606,,2637,,0.00,,
07/18/2003,522.01,,65985,,499,,2610,,2653,,0.00,,
07/19/2003,521.42,,65526,,-312,,2612,,2380,,0.00,,
07/20/2003,521.15,,65317,,--,,2615,,2510,,0.00,,
07/21/2003,521.01,,65209,,287,,2642,,2587,,0.00,,
07/22/2003,521.62,,65681,,472,,2685,,2923,,0.00,,
07/23/2003,521.79,,65813,,132,,2695,,2761,,0.00,,
07/24/2003,521.71,,65751,,-62,,2689,,2658,,0.00,,
07/25/2003,520.63,,64916,,-835,,2684,,2263,,0.00,,
07/26/2003,520.67,,64947,,--,,2679,,2694,,0.00,,
07/27/2003,520.44,,64770,,-177,,2685,,2596,,0.00,,
07/28/2003,520.41,,64747,,-23,,2683,,2672,,0.00,,
07/29/2003,520.86,,65093,,346,,2681,,2856,,0.00,,
07/30/2003,521.05,,65240,,147,,2668,,2743,,0.00,,
07/31/2003,521.33,,65456,,216,,--,,--,,0.00,,
08/01/2003,521.28,,65418,,-38,,2803,,2784,,0.00,,
