05/18/2015,ThecapacitywasrevisedinMay
2015usingdatafromtheCityofSanDiego,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
06/07/2003,5443.33,,41365,,73,,
06/08/2003,5443.38,,41399,,34,,
06/09/2003,5443.76,,41655,,256,,
06/10/2003,5443.99,,41810,,155,,
06/11/2003,5444.34,,42047,,237,,
06/12/2003,5444.59,,42217,,170,,
06/13/2003,5444.82,,42374,,157,,
06/14/2003,5445.04,,42524,,150,,
06/15/2003,5445.37,,42749,,225,,
06/16/2003,5445.55,,42873,,124,,
06/17/2003,5445.80,,43045,,172,,
06/18/2003,5446.18,,43307,,262,,
06/19/2003,5446.52,,43542,,235,,
06/20/2003,5446.78,,43723,,181,,
06/21/2003,5446.99,,43869,,146,,
06/22/2003,5447.19,,44009,,140,,
06/23/2003,5447.37,,44135,,126,,
06/24/2003,5447.49,,44219,,84,,
06/25/2003,5447.64,,44324,,105,,
06/26/2003,5447.78,,44422,,98,,
06/27/2003,5447.78,,44422,,0,,
06/28/2003,5447.95,,44542,,120,,
06/29/2003,5448.11,,44654,,112,,
06/30/2003,5448.01,,44584,,-70,,
07/01/2003,5447.76,,44408,,-176,,
07/02/2003,5447.49,,44219,,-189,,
07/03/2003,5447.21,,44023,,-196,,
07/04/2003,5447.28,,44072,,49,,
07/05/2003,5447.04,,43904,,-168,,
07/06/2003,5447.08,,43932,,28,,
07/07/2003,5446.76,,43709,,-223,,
07/08/2003,5446.36,,43432,,-277,,
07/09/2003,5446.09,,43245,,-187,,
07/10/2003,5445.82,,43059,,-186,,
07/11/2003,5445.54,,42866,,-193,,
07/12/2003,5445.28,,42688,,-178,,
07/13/2003,5445.29,,42695,,7,,
07/14/2003,5445.23,,42653,,-42,,
07/15/2003,5445.15,,42595,e,-58,,
07/16/2003,5445.06,,42537,,-58,,
07/17/2003,5445.41,e,42470,e,-67,,
07/18/2003,5444.87,,42408,,-62,,
07/19/2003,5444.76,,42333,,-75,,
07/20/2003,5444.66,,42264,,-69,,
07/21/2003,5444.56,,42196,,-68,,
07/22/2003,5444.47,,42135,,-61,,
07/23/2003,5444.36,,42060,,-75,,
07/24/2003,5444.25,,41986,,-74,,
07/25/2003,5444.15,,41918,,-68,,
07/26/2003,5444.11,,41891,,-27,,
07/27/2003,5443.66,,41587,,-304,,
07/28/2003,5443.32,,41359,,-228,,
07/29/2003,5443.02,,41157,,-202,,
07/30/2003,5442.98,,41131,,-26,,
07/31/2003,5442.60,,40877,,-254,,
08/01/2003,5442.30,,40677,,-200,,
08/02/2003,5442.30,,40677,,0,,
08/03/2003,5442.06,,40518,,-159,,
08/04/2003,5441.94,,40438,,-80,,
08/05/2003,5441.76,,40319,,-119,,
08/06/2003,5441.64,,40240,,-79,,
08/07/2003,5441.58,,40201,,-39,,
08/08/2003,5441.54,,40174,,-27,,
08/09/2003,5441.49,,40141,,-33,,
08/10/2003,5441.43,,40102,,-39,,
08/11/2003,5441.36,,40056,,-46,,
08/12/2003,5441.12,,39898,,-158,,
08/13/2003,5441.05,,39852,,-46,,
08/14/2003,5440.98,,39806,,-46,,
08/15/2003,5440.92,,39767,,-39,,
08/16/2003,5440.85,,39721,,-46,,
08/17/2003,5440.52,,39505,,-216,,
08/18/2003,5440.45,e,39465,,-40,,
08/19/2003,5440.38,,39414,,-51,,
08/20/2003,5440.31,,39368,,-46,,
08/21/2003,5440.25,,39329,,-39,,
08/22/2003,5440.19,,39290,,-39,,
08/23/2003,5439.98,,39154,,-136,,
08/24/2003,5439.82,,39050,,-104,,
08/25/2003,5439.48,,38830,,-220,,
08/26/2003,5439.08,,38573,,-257,,
08/27/2003,5439.01,,38528,,-45,,
08/28/2003,5438.95,,38489,,-39,,
08/29/2003,5438.87,,38438,,-51,,
08/30/2003,5438.81,,38399,,-39,,
08/31/2003,5438.69,,38322,,-77,,
09/01/2003,5438.41,,38144,,-178,,
09/02/2003,5437.95,,37851,,-293,,
09/03/2003,5437.70,,37692,,-159,,
09/04/2003,5437.65,,37660,,-32,,
09/05/2003,5437.59,,37622,,-38,,
09/06/2003,5437.51,,37571,,-51,,
09/07/2003,5437.44,,37527,,-44,,
09/08/2003,5437.37,,37483,,-44,,
09/09/2003,5436.88,,37174,,-309,,
09/10/2003,5436.39,,36867,,-307,,
09/11/2003,5435.87,,36543,,-324,,
09/12/2003,5435.40,,36251,,-292,,
09/13/2003,5434.89,,35936,,-315,,
09/14/2003,5434.14,,35476,,-460,,
09/15/2003,5433.81,,35274,,-202,,
09/16/2003,5433.26,,34940,,-334,,
09/17/2003,5432.75,,34638,,-302,,
09/18/2003,5432.24,,34325,,-313,,
09/19/2003,5431.72,,34020,,-305,,
09/20/2003,5431.22,,33722,,-298,,
09/21/2003,5430.64,,33379,,-343,,
09/22/2003,5430.04,,33025,,-354,,
09/23/2003,5429.98,,32990,,-35,,
09/24/2003,5429.90,,32943,,-47,,
09/25/2003,5429.83,,32902,,-41,,
09/26/2003,5429.76,,32862,,-40,,
09/27/2003,5429.69,,32820,,-42,,
09/28/2003,5429.62,,32780,,-40,,
09/29/2003,5429.55,,32739,,-41,,
09/30/2003,5429.49,,32704,,-35,,
10/01/2003,5429.42,,32663,,-41,,
10/02/2003,5429.34,,32616,,-47,,
10/03/2003,5429.28,,32581,,-35,,
10/04/2003,5429.21,,32540,,-41,,
10/05/2003,5429.14,,32500,,-40,,
10/06/2003,5428.72,,32256,,-244,,
10/07/2003,5428.60,,32186,,-70,,
10/08/2003,5428.54,,32152,,-34,,
10/09/2003,5428.48,,32117,,-35,,
10/10/2003,5428.42,,32082,,-35,,
10/11/2003,5428.36,,32048,,-34,,
10/12/2003,5428.30,,32013,,-35,,
10/13/2003,5428.24,,31979,,-34,,
10/14/2003,5428.17,,31938,,-41,,
10/15/2003,5428.12,,31909,,-29,,
10/16/2003,5428.06,,31875,,-34,,
10/17/2003,5428.00,,31840,,-35,,
10/18/2003,5427.94,,31806,,-34,,
10/19/2003,5427.88,,31771,,-35,,
10/20/2003,5427.74,,31691,,-80,,
10/21/2003,5427.38,,31485,,-206,,
10/22/2003,5427.33,,31456,,-29,,
10/23/2003,5427.27,,31422,,-34,,
10/24/2003,5427.22,,31393,,-29,,
10/25/2003,5427.03,,31285,,-108,,
10/26/2003,5426.52,,30995,,-290,,
10/27/2003,5426.22,,30825,,-170,,
10/28/2003,5425.86,,30622,,-203,,
10/29/2003,5425.81,,30594,,-28,,
10/30/2003,5425.76,,30566,,-28,,
10/31/2003,5425.74,,30554,,-12,,
11/01/2003,5425.70,,30532,,-22,,
11/02/2003,5425.61,,30481,,-51,,
11/03/2003,5425.61,,30481,,0,,
11/04/2003,5425.24,,30274,,-207,,
