Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,
06/07/2003,582.44,,20949,,12,,12847,,12859,,
06/08/2003,584.19,,22007,,1058,,13015,,13555,,
06/09/2003,584.77,,22365,,358,,13018,,13203,,
06/10/2003,584.42,,22149,,-216,,12993,,12892,,
06/11/2003,583.22,,21417,,-732,,14002,,13639,,
06/12/2003,582.73,,21122,,-295,,13957,,13814,,
06/13/2003,582.45,,20955,,-167,,13962,,13882,,
06/14/2003,582.07,,20728,,-227,,13949,,13841,,
06/15/2003,581.64,,20475,,-253,,13994,,13872,,
06/16/2003,582.06,,20722,,247,,14006,,14137,,
06/17/2003,582.35,,20895,,173,,14074,,14169,,
06/18/2003,582.48,,20973,,78,,14005,,14051,,
06/19/2003,583.15,,21374,,401,,13618,,13826,,
06/20/2003,583.27,,21447,,73,,13137,,13179,,
06/21/2003,584.16,,21989,,542,,12536,,12814,,
06/22/2003,585.33,,22714,,725,,12066,,12443,,
06/23/2003,584.00,,21890,,-824,,11561,,11150,,
06/24/2003,584.86,,22421,,531,,11554,,11827,,
06/25/2003,585.65,,22915,,494,,11548,,11805,,
06/26/2003,584.40,,22137,,-778,,11555,,11170,,
06/27/2003,582.95,,21253,,-884,,11847,,11407,,
06/28/2003,583.25,,21435,,182,,12081,,12180,,
06/29/2003,583.69,,21702,,267,,12385,,12531,,
06/30/2003,585.19,,22626,,924,,12459,,12931,,
07/01/2003,584.93,,22464,,-162,,12042,,11967,,
07/02/2003,584.96,,22482,,18,,11509,,11525,,
07/03/2003,583.48,,21574,,-908,,11532,,11081,,
07/04/2003,584.09,,21946,,372,,12047,,12241,,
07/05/2003,584.64,,22285,,339,,12015,,12193,,
07/06/2003,584.16,,21989,,-296,,12006,,11864,,
07/07/2003,583.68,,21696,,-293,,12015,,11874,,
07/08/2003,584.38,,22124,,428,,12524,,12747,,
07/09/2003,584.71,,22328,,204,,13391,,13500,,
07/10/2003,584.85,,22414,,86,,14264,,14314,,
07/11/2003,584.29,,22069,,-345,,14428,,14261,,
07/12/2003,584.54,,22223,,--,,14408,,14493,,
07/13/2003,584.37,,22118,,--,,14414,,14368,,
07/14/2003,583.60,,21647,,-471,,14332,,14103,,
07/15/2003,584.20,,22013,,--,,14351,,14544,,
07/16/2003,584.35,,22106,,93,,14355,,14409,,
07/17/2003,583.93,,21848,,-258,,14405,,14281,,
07/18/2003,584.72,,22334,,486,,14412,,14665,,
07/19/2003,585.35,,22727,,393,,14354,,14560,,
07/20/2003,585.40,,22758,,31,,14407,,14431,,
07/21/2003,579.80,,19412,,-3346,,14314,,12635,,
07/22/2003,581.89,,20622,,1210,,14256,,14873,,
07/23/2003,583.53,,21605,,983,,14393,,14896,,
07/24/2003,581.35,,20305,,--,,14369,,13720,,
07/25/2003,581.67,,20493,,188,,14261,,14359,,
07/26/2003,582.65,,21074,,581,,14900,,15199,,
07/27/2003,582.12,,20758,,-316,,14995,,14843,,
07/28/2003,583.31,,21471,,713,,15067,,15433,,
07/29/2003,585.31,,22702,,1231,,15036,,15665,,
07/30/2003,585.97,,23116,,414,,15151,,15368,,
07/31/2003,585.25,,22664,,-452,,14850,,14630,,
08/01/2003,585.28,,22683,,19,,14701,,14718,,
08/02/2003,584.52,,22211,,-472,,14312,,14077,,
08/03/2003,583.90,,21829,,-382,,14221,,14033,,
08/04/2003,583.90,,21829,,0,,14084,,14087,,
08/05/2003,585.10,,22570,,741,,14025,,14405,,
08/06/2003,585.33,,22714,,144,,13839,,13916,,
08/07/2003,584.99,,22501,,-213,,12981,,12881,,
08/08/2003,582.75,,21134,,--,,11632,,10948,,
08/09/2003,584.29,,22069,,935,,10227,,10703,,
08/10/2003,584.62,,22273,,204,,10032,,10140,,
08/11/2003,584.89,,22439,,166,,10025,,10114,,
08/12/2003,584.85,,22414,,-25,,10023,,10016,,
08/13/2003,585.70,,22947,,533,,10009,,10284,,
08/14/2003,585.79,,23003,,56,,10015,,10050,,
08/15/2003,584.45,,22168,,-835,,10000,,9585,,
08/16/2003,585.32,,22708,,540,,9016,,9294,,
08/17/2003,585.27,,22677,,-31,,8943,,8933,,
08/18/2003,584.31,,22081,,-596,,8925,,8632,,
08/19/2003,583.34,,21489,,-592,,8939,,8648,,
08/20/2003,583.55,,21617,,128,,8934,,9005,,
08/21/2003,584.83,,22402,,785,,8292,,8694,,
08/22/2003,584.68,,22310,,-92,,8205,,8162,,
08/23/2003,584.44,,22161,,-149,,8195,,8122,,
08/24/2003,583.28,,21453,,-708,,8197,,7845,,
08/25/2003,583.83,,21787,,334,,8537,,8711,,
08/26/2003,584.66,,22297,,510,,8945,,9209,,
08/27/2003,584.86,,22421,,124,,8897,,8964,,
08/28/2003,584.22,,22026,,-395,,8917,,8725,,
08/29/2003,583.06,,21319,,-707,,8879,,8528,,
08/30/2003,583.82,,21781,,462,,8845,,9085,,
08/31/2003,584.70,,22322,,541,,8834,,9112,,
09/01/2003,584.67,,22303,,-19,,8908,,8906,,
09/02/2003,583.73,,21726,,-577,,8941,,8656,,
09/03/2003,584.09,,21946,,220,,8550,,8667,,
09/04/2003,584.05,,21921,,-25,,8050,,8041,,
09/05/2003,584.05,,21921,,0,,7438,,7443,,
09/06/2003,584.56,,22236,,315,,7022,,7188,,
09/07/2003,585.38,,22746,,510,,7011,,7272,,
09/08/2003,583.90,,21829,,-917,,7024,,6566,,
