Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,EVAP , ,,RIVREL , ,,SPILL , ,,DISPWR , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,CFS, ,CFS, ,CFS, ,CFS, ,
06/07/2003,1900.82,,13779,,-73,,4034,,4004,,7,,2000,,1870,,80,,
06/08/2003,1900.84,,13793,,14,,3981,,3995,,7,,2000,,1870,,80,,
06/09/2003,1901.02,,13926,,133,,3776,,3849,,6,,2000,,1870,,80,,
06/10/2003,1901.03,,13933,,7,,3967,,3977,,6,,2000,,1870,,80,,
06/11/2003,1901.04,,13941,,8,,3961,,3972,,7,,2000,,1870,,80,,
06/12/2003,1901.00,,13911,,-30,,3986,,3977,,6,,2000,,1870,,80,,
06/13/2003,1900.92,,13852,,-59,,4001,,3976,,5,,2000,,1870,,80,,
06/14/2003,1900.84,,13793,,-59,,4015,,3990,,5,,2000,,1883,,67,,
06/15/2003,1900.86,,13808,,15,,3975,,3988,,5,,2000,,1950,,--,,
06/16/2003,1901.00,,13911,,103,,3916,,3974,,6,,2000,,1906,,44,,
06/17/2003,1901.06,,13956,,45,,3943,,3972,,6,,2000,,1950,,0,,
06/18/2003,1900.98,,13896,,-60,,4005,,3980,,5,,2000,,1950,,0,,
06/19/2003,1900.93,,13859,,-37,,3992,,3978,,5,,2000,,1910,,40,,
06/20/2003,1900.80,,13764,,-95,,4029,,3988,,7,,2000,,1870,,80,,
06/21/2003,1901.05,,13948,,184,,3894,,3993,,6,,2000,,1870,,80,,
06/22/2003,1900.61,,13624,,-324,,4129,,3972,,6,,2000,,1870,,80,,
06/23/2003,1900.57,,13595,,-29,,4034,,4025,,6,,2000,,1870,,80,,
06/24/2003,1900.91,,13845,,250,,3881,,4012,,5,,2000,,1870,,80,,
06/25/2003,1900.80,,13764,,-81,,3620,,3585,,6,,2000,,1870,,80,,
06/26/2003,1901.12,,14001,,237,,3098,,3223,,6,,2000,,1870,,80,,
06/27/2003,1901.40,,14210,,209,,3014,,3125,,6,,2000,,1870,,80,,
06/28/2003,1901.45,,14248,,38,,3082,,3108,,7,,2000,,1870,,80,,
06/29/2003,1901.42,,14225,,-23,,3034,,3030,,8,,2000,,1870,,80,,
06/30/2003,1901.47,,14263,,38,,3020,,3046,,7,,2000,,1870,,80,,
07/01/2003,1901.31,,14143,,-120,,3148,,3095,,7,,2000,,1870,,80,,
07/02/2003,1901.27,,14113,,-30,,3038,,3029,,6,,2000,,1857,,80,,
07/03/2003,1901.26,,14105,,-8,,3094,,3097,,7,,2000,,1850,,80,,
07/04/2003,1901.22,,14076,,-29,,3082,,3074,,7,,2000,,1850,,80,,
07/05/2003,1900.96,,13882,,-194,,3077,,2986,,7,,2000,,1850,,80,,
07/06/2003,1900.92,,13852,,-30,,3052,,3044,,7,,2000,,1850,,80,,
07/07/2003,1901.10,,13986,,134,,2893,,2968,,7,,2000,,1850,,80,,
07/08/2003,1901.11,,13993,,7,,3104,,3116,,8,,2000,,1850,,80,,
07/09/2003,1901.07,,13963,,-30,,3962,,3953,,6,,2000,,1850,,80,,
07/10/2003,1901.00,,13911,,-52,,4151,,4132,,7,,2000,,1850,,80,,
07/11/2003,1900.90,,13837,,-74,,3890,,3860,,7,,1650,,1500,,80,,
07/12/2003,1900.87,,13815,,--,,3988,,3984,,7,,1419,,1269,,80,,
07/13/2003,1900.88,,13823,,--,,3805,,3816,,7,,1269,,1119,,80,,
07/14/2003,1900.71,,13698,,-125,,3678,,3622,,7,,1119,,969,,80,,
07/15/2003,1900.54,,13572,,--,,2045,,1988,,7,,988,,838,,80,,
07/16/2003,1901.14,,14016,,444,,1857,,2088,,7,,888,,738,,80,,
07/17/2003,1900.84,,13793,,-223,,2671,,2566,,7,,788,,638,,80,,
07/18/2003,1901.04,,13941,,148,,2537,,2619,,7,,703,,553,,80,,
07/19/2003,1901.48,,14270,,329,,2239,,2412,,7,,628,,478,,80,,
07/20/2003,1901.75,,14472,,202,,1529,,1639,,8,,628,,478,,80,,
07/21/2003,1901.44,,14240,,-232,,2424,,2313,,6,,519,,369,,80,,
07/22/2003,1901.27,,14113,,-127,,2287,,2230,,7,,469,,319,,80,,
07/23/2003,1900.55,,13580,,-533,,1980,,1719,,8,,450,,300,,80,,
07/24/2003,1901.46,,14255,,--,,2009,,2357,,8,,450,,300,,80,,
07/25/2003,1901.65,,14397,,142,,2280,,2357,,5,,450,,281,,80,,
07/26/2003,1901.39,,14203,,-194,,2239,,2149,,8,,450,,270,,80,,
07/27/2003,1901.18,,14046,,-157,,2564,,2493,,8,,450,,270,,80,,
07/28/2003,1900.21,,13330,,-716,,1963,,1609,,7,,450,,270,,80,,
07/29/2003,1900.53,,13565,,235,,1915,,2040,,7,,450,,270,,80,,
07/30/2003,1900.40,,13469,,-96,,2371,,2330,,7,,450,,270,,80,,
07/31/2003,1901.09,,13978,,509,,1845,,2110,,8,,450,,270,,80,,
08/01/2003,1901.31,,14143,,165,,3200,,3292,,9,,450,,270,,80,,
08/02/2003,1901.38,,14195,,52,,3229,,3260,,5,,450,,270,,47,,
08/03/2003,1900.93,,13859,,-336,,2544,,2379,,4,,450,,270,,--,,
08/04/2003,1900.29,,13388,,-471,,3258,,3025,,4,,450,,270,,43,,
08/05/2003,1901.28,,14120,,732,,2956,,3329,,4,,450,,270,,80,,
08/06/2003,1900.67,,13668,,-452,,3110,,2886,,4,,450,,270,,80,,
08/07/2003,1900.66,,13661,,-7,,2899,,2900,,5,,450,,270,,80,,
08/08/2003,1900.53,,13565,,--,,3104,,3062,,6,,450,,270,,80,,
08/09/2003,1901.29,,14128,,563,,2762,,3051,,5,,450,,270,,80,,
08/10/2003,1900.92,,13852,,-276,,2926,,2793,,6,,450,,270,,80,,
08/11/2003,1901.27,,14113,,261,,2939,,3076,,5,,450,,270,,80,,
08/12/2003,1901.46,,14255,,142,,2365,,2443,,6,,450,,270,,80,,
08/13/2003,1901.14,,14016,,-239,,2465,,2350,,5,,450,,270,,80,,
