Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,PPTINC , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,INCHES, ,
06/07/2003,568.48,,199800,,0,,3474,,3479,,0.00,,
06/08/2003,568.42,,199670,,0,,3396,,3303,,0.00,,
06/09/2003,568.40,,199620,,-57,,3364,,3162,,0.00,,
06/10/2003,568.30,,199400,,-226,,3183,,2914,,0.00,,
06/11/2003,568.05,,198840,,-551,,3020,,2264,,0.00,,
06/12/2003,567.80,,198280,,-583,,2541,,1705,,0.00,,
06/13/2003,567.68,,198020,,-311,,1982,,1532,,0.00,,
06/14/2003,567.31,,197200,,-784,,1714,,1211,,0.00,,
06/15/2003,566.86,,196209,,-976,,1636,,1487,,--,,
06/16/2003,566.80,,196070,,-137,,1615,,1553,,0.00,,
06/17/2003,566.61,,195650,,-426,,1615,,1408,,0.00,,
06/18/2003,566.36,,195100,,-546,,1615,,1347,,0.00,,
06/19/2003,566.26,,195180,,-234,,1618,,1577,,0.00,,
06/20/2003,566.27,,194900,,-288,,1535,,1141,,0.00,,
06/21/2003,566.10,,194520,,-375,,1274,,1092,,0.00,,
06/22/2003,566.43,,195250,,724,,1279,,1033,,0.00,,
06/23/2003,566.40,,195180,,-62,,665,,994,,0.00,,
06/24/2003,566.19,,194720,,-451,,1025,,924,,0.00,,
06/25/2003,565.83,,193930,,-792,,1150,,884,,0.00,,
06/26/2003,565.61,,193450,,-484,,1276,,780,,0.00,,
06/27/2003,565.73,,193670,,263,,1017,,731,,0.00,,
06/28/2003,566.07,,194460,,746,,617,,728,,0.00,,
06/29/2003,566.43,,195250,,782,,330,,728,,0.00,,
06/30/2003,566.34,,195050,,-190,,329,,655,,0.00,,
07/01/2003,566.18,e,194720,,--,,750,,688,,0.00,,
07/02/2003,566.01,,194330,,-393,,831,,663,,0.00,,
07/03/2003,565.74,,193730,,-591,,851,,571,,0.00,,
07/04/2003,565.70,,193650,,-105,,853,,597,,0.00,,
07/05/2003,565.42,,193030,,-613,,632,,537,,0.00,,
07/06/2003,565.23,,192620,,-399,,843,,435,,0.00,,
07/07/2003,565.10,,192330,,-291,,635,,529,,0.00,,
07/08/2003,564.72,,191500,,-819,,666,,285,,0.00,,
07/09/2003,564.82,,191720,,219,,676,,528,,0.00,,
07/10/2003,564.88,,191850,,134,,411,,483,,0.00,,
07/11/2003,564.94,e,191960,,--,,411,,473,,0.00,,
07/12/2003,565.00,,192110,,--,,411,,493,,0.00,,
07/13/2003,565.08,,192290,,157,,411,,509,,0.00,,
07/14/2003,565.16,,192460,,175,,412,,503,,0.00,,
07/15/2003,--,,192290,,--,,411,,333,,0.00,,
07/16/2003,564.83,,191740,,-545,,412,,143,,0.00,,
07/17/2003,--,,191130,,--,,416,,113,,0.00,,
07/18/2003,564.55,,191130,,12,,--,,418,,0.00,,
07/19/2003,564.59,,191220,,78,,425,,462,,0.00,,
07/20/2003,564.67,,191400,,183,,417,,508,,0.00,,
07/21/2003,564.74,,191550,,137,,417,,493,,0.00,,
07/22/2003,--,,191830,,--,,417,,558,,0.00,,
07/23/2003,565.02,,192160,,--,,417,,583,,0.00,,
07/24/2003,565.19,,192530,,357,,417,,603,,0.00,,
07/25/2003,565.33,,192840,,307,,417,,573,,0.00,,
07/26/2003,565.48,,193160,,320,,404,,579,,0.00,,
07/27/2003,565.62,,193470,,320,,--,,573,,0.00,,
07/28/2003,565.77,,193800,,322,,412,,583,,0.00,,
07/29/2003,565.93,,194150,,342,,412,,593,,0.00,,
07/30/2003,566.07,,194460,,309,,412,,573,,0.00,,
07/31/2003,566.24,,194810,,379,,412,,594,,0.10,,
