Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
06/07/2003,490.58,,1400935,,-5039,,
06/08/2003,490.50,,1400040,,-895,,
06/09/2003,490.08,,1395344,,-4696,,
06/10/2003,489.85,,1392774,,-2570,,
06/11/2003,489.89,,1393221,,447,,
06/12/2003,489.34,,1387082,,-6139,,
06/13/2003,488.54,,1378169,,-8913,,
06/14/2003,487.78,,1369719,,-8450,,
06/15/2003,487.50,,1366611,,-3108,,
06/16/2003,486.61,,1356746,,-9865,,
06/17/2003,486.19,,1352099,,-4647,,
06/18/2003,485.51,,1344587,,-7512,,
06/19/2003,484.85,,1334005,,-10582,,
06/20/2003,483.65,,1324110,,-9895,,
06/21/2003,482.65,,1313144,,-10966,,
06/22/2003,481.84,,1304284,,-8860,,
06/23/2003,480.75,,1292393,,-11891,,
06/24/2003,480.57,,1290433,,-1960,,
06/25/2003,479.57,,1279562,,-10871,,
06/26/2003,478.31,,1265907,,-13655,,
06/27/2003,476.84,,1250038,,-15869,,
06/28/2003,475.37,,1234221,,-15817,,
06/29/2003,474.69,,1226940,,0,,
06/30/2003,473.82,,1217645,,-9295,,
07/01/2003,472.91,,1207947,,-9698,,
07/02/2003,472.68,,1205499,,-2448,,
07/03/2003,472.14,,1199759,,-5740,,
07/04/2003,471.47,,1192650,,-7109,,
07/05/2003,470.50,,1182381,,-10269,,
07/06/2003,469.77,,1174672,,-7709,,
07/07/2003,469.08,,1167400,,-7272,,
07/08/2003,468.57,,1162035,,-5365,,
07/09/2003,467.69,,1152796,,-9239,,
07/10/2003,466.97,,1145254,,-7542,,
07/11/2003,465.63,,1131260,,-13994,,
07/12/2003,464.74,,1121997,,--,,
07/13/2003,463.78,,1112033,,--,,
07/14/2003,462.89,,1102821,,-9212,,
07/15/2003,461.91,,1092707,,--,,
07/16/2003,461.18,,1085192,,-7515,,
07/17/2003,459.88,,1071853,,-13339,,
07/18/2003,458.47,,1057446,,-14407,,
07/19/2003,457.07,,1043204,,-14242,,
07/20/2003,456.18,,1034184,,-9020,,
