05/18/2015,ThecapacitywasrevisedinApril2015usingdatafromthe
SacramentoMunicipalUtilityDistrict,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
06/07/2003,4864.93,,262545,,-578,,
06/08/2003,4864.71,,261883,,-662,,
06/09/2003,4864.49,,261250,,-633,,
06/10/2003,4864.34,,260819,,-431,,
06/11/2003,4864.68,,261825,,1006,,
06/12/2003,4864.84,,262257,,432,,
06/13/2003,4864.99,,262690,,433,,
06/14/2003,4865.16,,263181,,491,,
06/15/2003,4865.08,,262950,,-231,,
06/16/2003,4865.07,,262920,,-30,,
06/17/2003,4865.22,,263383,,463,,
06/18/2003,4865.38,,263816,,433,,
06/19/2003,4865.81,,265064,,1248,,
06/20/2003,4866.43,,266897,,1833,,
06/21/2003,4866.51,,267101,,204,,
06/22/2003,4866.59,,267335,,234,,
06/23/2003,4867.06,,268712,,1377,,
06/24/2003,4867.22,,269210,,498,,
06/25/2003,4867.10,,268858,,-352,,
06/26/2003,4866.95,,268390,,-468,,
06/27/2003,4866.57,,267277,,-1113,,
06/28/2003,4866.16,,266082,,-1195,,
06/29/2003,4865.88,,265266,,-816,,
06/30/2003,4865.57,,264366,,-900,,
07/01/2003,4865.74,,264861,,495,,
07/02/2003,4865.58,,264396,,-465,,
07/03/2003,4865.50,,264164,,-232,,
07/04/2003,4865.20,,263297,,-867,,
07/05/2003,4865.00,,262718,,-579,,
07/06/2003,4864.76,,262026,,-692,,
07/07/2003,4864.88,,262372,,346,,
07/08/2003,4864.97,,262633,,261,,
07/09/2003,4864.58,,261509,,-1124,,
07/10/2003,4864.10,,260131,,-1378,,
07/11/2003,4863.83,,259358,,-773,,
07/12/2003,4863.39,,258103,,-1255,,
07/13/2003,4862.75,,256284,,-1819,,
07/14/2003,4862.10,,254474,,-1810,,
07/15/2003,4861.64,e,253180,e,-1294,,
07/16/2003,4861.18,,251889,,-1291,,
07/17/2003,4860.98,e,251315,e,-574,,
07/18/2003,4860.78,,250743,,-572,,
07/19/2003,4860.10,,248879,,-1864,,
07/20/2003,4859.63,,247550,,-1329,,
07/21/2003,4859.06,,245978,,-1572,,
07/22/2003,4858.46,,244331,,-1647,,
07/23/2003,4858.14,,243483,,-848,,
07/24/2003,4857.53,,241793,,-1690,,
07/25/2003,4856.53,,239087,,-2706,,
07/26/2003,4855.82,,237179,,-1908,,
07/27/2003,4855.39,,236055,,-1124,,
07/28/2003,4855.13,,235335,,-720,,
07/29/2003,4854.81,,234484,,-851,,
07/30/2003,4854.18,,232840,,-1644,,
07/31/2003,4853.99,,232312,,-528,,
08/01/2003,4853.74,,231653,,-659,,
08/02/2003,4853.29,,230469,,-1184,,
08/03/2003,4853.22,,230286,,-183,,
08/04/2003,4852.53,,228480,,-1806,,
08/05/2003,4851.57,,225986,,-2494,,
08/06/2003,4851.01,,224540,,-1446,,
08/07/2003,4850.43,,223076,,-1464,,
08/08/2003,4849.85,,221567,,-1509,,
08/09/2003,4849.50,,220675,,-892,,
08/10/2003,4849.09,,219634,,-1041,,
08/11/2003,4848.53,,218218,,-1416,,
08/12/2003,4848.01,,216909,,-1309,,
08/13/2003,4847.68,,216107,,-802,,
08/14/2003,4847.28,,215081,,-1026,,
08/15/2003,4846.89,,214134,,-947,,
08/16/2003,4846.37,,212819,,-1315,,
08/17/2003,4846.17,,212323,,-496,,
08/18/2003,4846.05,e,212373,,50,,
08/19/2003,4845.93,,211755,,-618,,
08/20/2003,4845.45,,210549,,-1206,,
08/21/2003,4845.34,,210278,,-271,,
08/22/2003,4844.89,,209175,,-1103,,
08/23/2003,4844.76,,208857,,-318,,
08/24/2003,4844.78,,208906,,49,,
08/25/2003,4844.57,,208393,,-513,,
08/26/2003,4844.77,,208882,,489,,
08/27/2003,4844.47,,208174,,-708,,
08/28/2003,4844.00,,207006,,-1168,,
08/29/2003,4843.57,,205964,,-1042,,
08/30/2003,4843.31,,205336,,-628,,
08/31/2003,4842.97,,204540,,-796,,
09/01/2003,4842.97,,204540,,0,,
09/02/2003,4842.81,,204132,,-408,,
09/03/2003,4842.71,,203891,,-241,,
09/04/2003,4842.28,,202860,,-1031,,
09/05/2003,4842.42,,202345,e,-515,,
09/06/2003,4842.47,,201825,e,-520,,
09/07/2003,4841.63,,201310,,-515,,
09/08/2003,4841.52,,201049,,-261,,
09/09/2003,4841.22,,200360,,-689,,
09/10/2003,4841.43,,200858,,498,,
09/11/2003,4841.25,,200408,,-450,,
09/12/2003,4841.33,,200598,,190,,
09/13/2003,4841.31,,200550,,-48,,
09/14/2003,4841.30,,200526,,-24,,
09/15/2003,4841.59,,201215,,689,,
09/16/2003,4842.03,,202263,,1048,,
09/17/2003,4842.31,,202933,,670,,
09/18/2003,4842.31,,203410,e,477,,
09/19/2003,4842.71,,203891,,481,,
09/20/2003,4842.53,,203459,,-432,,
09/21/2003,4842.33,,202981,,-478,,
09/22/2003,4841.93,,202049,,-932,,
09/23/2003,4841.29,,200503,,-1546,,
09/24/2003,4841.27,,200455,,-48,,
09/25/2003,4840.83,,199414,,-1041,,
09/26/2003,4840.64,,198965,,-449,,
09/27/2003,4840.37,,198329,,-636,,
09/28/2003,4839.92,,197272,,-1057,,
09/29/2003,4839.70,,196757,,-515,,
09/30/2003,4839.18,,195544,,-1213,,
10/01/2003,4838.78,,194613,,-931,,
10/02/2003,4838.53,,194033,,-580,,
10/03/2003,4838.31,,193525,,-508,,
10/04/2003,4838.32,,193547,,22,,
10/05/2003,4837.89,,192578,,-969,,
10/06/2003,4838.22,,193317,,739,,
10/07/2003,4838.31,,193525,,208,,
10/08/2003,4837.91,,192602,,-923,,
10/09/2003,4837.53,,191727,,-875,,
10/10/2003,4837.42,,191475,,-252,,
10/11/2003,4837.39,,191407,,-68,,
10/12/2003,4837.07,,190674,,-733,,
10/13/2003,4836.87,,190217,,-457,,
10/14/2003,4836.82,,190103,,-114,,
10/15/2003,4836.64,,189693,,-410,,
10/16/2003,4836.47,,189306,,-387,,
10/17/2003,4836.22,,188760,,-546,,
10/18/2003,4835.93,,188081,,-679,,
10/19/2003,4835.58,,187290,,-791,,
10/20/2003,4835.37,,186816,,-474,,
10/21/2003,4835.31,,186681,,-135,,
10/22/2003,4835.20,,186434,,-247,,
10/23/2003,4834.47,,185620,e,-814,,
10/24/2003,4834.68,,184810,e,-810,,
10/25/2003,4834.10,,183993,,-817,,
10/26/2003,4834.08,,183927,,-66,,
10/27/2003,4834.02,,183793,,-134,,
10/28/2003,4833.96,,183660,,-133,,
10/29/2003,4833.64,,182949,,-711,,
10/30/2003,4833.33,,182263,,-686,,
10/31/2003,4833.45,,182528,,265,,
11/01/2003,4833.18,,181931,,-597,,
11/02/2003,4833.06,,181666,,-265,,
11/03/2003,4833.14,,181864,,198,,
11/04/2003,4833.09,,181732,,-132,,
11/05/2003,4833.10,,181754,,22,,
11/06/2003,4832.67,,180807,,-947,,
11/07/2003,4832.22,,179841,,-966,,
11/08/2003,4831.66,,178596,,-1245,,
11/09/2003,4831.06,,177292,,-1304,,
11/10/2003,4830.63,,176361,,-931,,
11/11/2003,4830.49,,176060,,-301,,
11/12/2003,4829.96,,174919,,-1141,,
11/13/2003,4829.43,,173806,,-1113,,
11/14/2003,4829.39,,173699,,-107,,
11/15/2003,4829.49,,173913,,214,,
11/16/2003,4829.37,,173657,,-256,,
11/17/2003,4829.14,,173187,,-470,,
11/18/2003,4828.72,,172273,,-914,,
11/19/2003,4828.49,,171786,,-487,,
11/20/2003,4828.34,,171467,,-319,,
11/21/2003,4828.34,,171467,,0,,
11/22/2003,4828.30,,171383,,-84,,
11/23/2003,4828.03,,170813,,-570,,
11/24/2003,4827.72,,170181,,-632,,
11/25/2003,4827.18,,169048,,-1133,,
11/26/2003,4826.70,,168025,,-1023,,
11/27/2003,4826.70,,168025,,0,,
11/28/2003,4826.57,,167754,,-271,,
11/29/2003,4826.38,,167359,,-395,,
11/30/2003,4826.03,,166633,,-726,,
12/01/2003,4826.13,,166840,,207,,
12/02/2003,4826.16,,166903,,63,,
12/03/2003,4826.18,,166945,,42,,
12/04/2003,4826.27,,167131,,186,,
12/05/2003,4826.35,,167297,,166,,
12/06/2003,4826.92,,168484,,1187,,
12/07/2003,4827.43,,169551,,1067,,
12/08/2003,4827.60,,169929,,378,,
12/09/2003,4827.67,,170055,,126,,
12/10/2003,4827.95,,170645,,590,,
12/11/2003,4827.32,,169320,,-1325,,
12/12/2003,4827.03,,168713,,-607,,
12/13/2003,4827.18,,169048,,335,,
12/14/2003,4827.08,,168818,,-230,,
12/15/2003,4826.83,,168296,,-522,,
12/16/2003,4826.27,,167131,,-1165,,
12/17/2003,4826.14,,166862,,-269,,
12/18/2003,4825.72,,166013,,-849,,
12/19/2003,4825.18,,164880,,-1133,,
12/20/2003,4825.24,,165004,,124,,
12/21/2003,4825.47,,165477,,473,,
12/22/2003,4825.09,,164695,,-782,,
12/23/2003,4824.85,,164203,,-492,,
12/24/2003,4825.47,,165497,,1294,,
12/25/2003,4825.91,,166385,,888,,
12/26/2003,4826.12,,166820,,435,,
12/27/2003,4826.24,,167069,,249,,
12/28/2003,4826.18,,166965,,-104,,
12/29/2003,4825.96,,166488,,-477,,
12/30/2003,4825.85,,166281,,-207,,
12/31/2003,4825.87,,166303,,22,,
01/01/2004,4825.87,,166303,,0,,
01/02/2004,4825.59,,165724,,-579,,
01/03/2004,4825.27,,165065,,-659,,
01/04/2004,4825.22,,164983,,-82,,
01/05/2004,4824.87,,164244,,-739,,
01/06/2004,4824.42,,163324,,-920,,
01/07/2004,4823.93,,162327,,-997,,
01/08/2004,4823.67,,161799,,-528,,
01/09/2004,4823.30,,161050,,-749,,
01/10/2004,4823.21,,160869,,-181,,
01/11/2004,4822.81,,160064,,-805,,
01/12/2004,4822.31,,159061,,-1003,,
01/13/2004,4821.78,,158003,,-1058,,
01/14/2004,4821.33,,157109,,-894,,
01/15/2004,4821.12,,156693,,-416,,
01/16/2004,4820.85,,156160,,-533,,
01/17/2004,4820.51,,155489,,-671,,
01/18/2004,4820.35,,155175,,-314,,
01/19/2004,4819.99,,154470,,-705,,
01/20/2004,4819.72,,153961,,-509,,
01/21/2004,4819.82,,154136,,175,,
01/22/2004,4819.02,,152579,,-1557,,
01/23/2004,4818.56,,151689,,-890,,
01/24/2004,4818.13,,150860,,-829,,
01/25/2004,4817.84,,150302,,-558,,
01/26/2004,4817.30,,149269,,-1033,,
01/27/2004,4816.88,,148469,,-800,,
01/28/2004,4816.70,,148128,,-341,,
01/29/2004,4816.30,,147370,,-758,,
01/30/2004,4816.26,,147294,,-76,,
01/31/2004,4816.35,,147483,,189,,
02/01/2004,4816.54,,147824,,341,,
02/02/2004,4816.18,,147162,,-662,,
02/03/2004,4815.54,,145939,,-1223,,
02/04/2004,4815.14,,145208,,-731,,
02/05/2004,4814.81,,144574,,-634,,
02/06/2004,4814.47,,143960,,-614,,
02/07/2004,4814.47,,143960,,0,,
02/08/2004,4814.46,,143922,,-38,,
02/09/2004,4814.03,,143125,,-797,,
02/10/2004,4813.71,,142535,,-590,,
02/11/2004,4813.59,,142313,,-222,,
02/12/2004,4812.83,,140919,,-1394,,
02/13/2004,4812.60,,140517,,-402,,
02/14/2004,--,,140620,e,103,,
02/15/2004,4812.72,,140718,,98,,
02/16/2004,4813.47,,142093,,1375,,
02/17/2004,4814.35,,143737,,1644,,
02/18/2004,4815.04,,145003,,1266,,
02/19/2004,4815.63,,146107,,1104,,
02/20/2004,4815.95,,146710,,603,,
02/21/2004,4816.27,,147313,,603,,
02/22/2004,4816.38,,147521,,208,,
02/23/2004,4816.24,,147257,,-264,,
02/24/2004,4816.29,,147351,,94,,
02/25/2004,4816.63,,147995,,644,,
02/26/2004,4816.88,,148469,,474,,
02/27/2004,4816.72,,148166,,-303,,
