SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014
10,0,0,0,United States,308758105,309347057,311721632,314112078,316497531,318857056,588952,2374575,2390446,2385453,2359525,0.190748677,0.767608725,0.76685278,0.759427341,0.745511345,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
20,1,0,0,Northeast Region,55318348,55381690,55635670,55832038,56028220,56152333,63342,253980,196368,196182,124113,0.114504504,0.458599223,0.35295342,0.351378898,0.221518728,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,4
20,2,0,0,Midwest Region,66929898,66972390,67149657,67331458,67567871,67745108,42492,177267,181801,236413,177237,0.063487322,0.264686687,0.270740028,0.351118195,0.262309582,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,3
20,3,0,0,South Region,114562951,114871231,116089908,117346322,118522802,119771934,308280,1218677,1256414,1176480,1249132,0.26909223,1.06090706,1.082276678,1.002570835,1.053917035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
20,4,0,0,West Region,71946908,72121746,72846397,73602260,74378638,75187681,174838,724651,755863,776378,809043,0.243009748,1.004760756,1.037612059,1.054829023,1.087735702,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
40,3,6,1,Alabama,4780127,4785822,4801695,4817484,4833996,4849377,5695,15873,15789,16512,15381,0.119139094,0.331667162,0.328821385,0.342751528,0.318183962,23,23,23,23,23,23,29,27,27,29,27,34,39,35,35,30
40,4,9,2,Alaska,710249,713856,722572,731081,737259,736732,3607,8716,8509,6178,-527,0.507850064,1.220974538,1.177598911,0.845050001,-0.071480986,47,47,47,47,47,48,32,39,41,43,47,2,7,11,21,48
40,4,8,4,Arizona,6392310,6411999,6472867,6556236,6634997,6731484,19689,60868,83369,78761,96487,0.308010719,0.949282743,1.28797641,1.201314291,1.454213167,16,16,16,15,15,15,8,10,7,7,5,6,16,9,9,7
40,3,7,5,Arkansas,2915958,2922297,2938430,2949300,2958765,2966369,6339,16133,10870,9465,7604,0.217389962,0.552065721,0.369925436,0.320923609,0.25699912,32,32,32,32,32,32,24,26,36,40,39,22,32,33,38,36
40,4,9,6,California,37254503,37336011,37701901,38062780,38431393,38802500,81508,365890,360879,368613,371107,0.218786975,0.979992212,0.957190461,0.968434255,0.965635047,1,1,1,1,1,1,2,2,2,2,2,21,12,19,16,15
40,4,8,8,Colorado,5029324,5048575,5119661,5191709,5272086,5355866,19251,71086,72048,80377,83780,0.382775101,1.408040883,1.407280677,1.548179992,1.589124305,22,22,22,22,22,22,9,9,10,6,8,4,5,6,5,4
40,1,1,9,Connecticut,3574096,3579345,3590537,3594362,3599341,3596677,5249,11192,3825,4979,-2664,0.146862312,0.312682907,0.106530026,0.138522497,-0.074013549,29,29,29,29,29,29,30,36,46,45,49,30,40,45,42,49
40,3,5,10,Delaware,897936,899731,907829,916881,925240,935614,1795,8098,9052,8359,10374,0.199902888,0.900046792,0.99710408,0.911677742,1.121222602,45,45,45,45,45,45,42,40,39,41,34,25,17,18,20,12
40,3,5,11,District of Columbia,601767,605210,620427,635040,649111,658893,3443,15217,14613,14071,9782,0.572148356,2.514333868,2.355313357,2.215765936,1.506984168,50,50,50,49,49,49,34,28,30,33,35,1,1,2,2,5
40,3,5,12,Florida,18804623,18852220,19107900,19355257,19600311,19893297,47597,255680,247357,245054,292986,0.25311329,1.356232847,1.294527394,1.266084971,1.494802812,4,4,4,4,4,3,3,3,3,3,3,14,6,8,8,6
40,3,5,13,Georgia,9688681,9714464,9813201,9919000,9994759,10097343,25783,98737,105799,75759,102584,0.266114655,1.01639164,1.078129348,0.76377659,1.026377925,9,9,9,8,8,8,4,5,4,10,4,11,11,13,25,14
40,4,9,15,Hawaii,1360301,1363950,1378251,1392766,1408987,1419561,3649,14301,14515,16221,10574,0.268249454,1.048498845,1.053146343,1.164660826,0.750468244,40,40,40,40,40,40,31,32,31,31,33,9,10,15,10,20
40,4,8,16,Idaho,1567652,1570639,1583780,1595590,1612843,1634464,2987,13141,11810,17253,21621,0.190539737,0.836665841,0.745684375,1.081292813,1.340552056,39,39,39,39,39,39,37,34,34,27,23,27,18,25,13,9
